场景号	地图号	进入脚本	传送脚本
$0001 [001]	12	A5FF	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0001 [1]	0	512	800	0	123B	0000	1	5	0	0	0	0	0	0	0	0
#0002 [2]	0	672	624	0	0045	0000	1	4	0	0	0	0	0	0	0	0
#0003 [3]	0	720	664	0	002A	0000	1	5	0	0	0	0	0	0	0	0
#0004 [4]	0	1152	384	0	117B	0000	0	5	0	0	0	0	0	0	0	0
#0005 [5]	0	1248	272	0	18AE	0000	1	1	0	0	0	0	0	0	0	0
#0006 [6]	0	1264	392	0	18B4	0000	1	1	0	0	0	0	0	0	0	0
#0007 [7]	0	1456	312	0	18BA	0000	1	1	0	0	0	0	0	0	0	0
#0008 [8]	0	640	608	0	11C5	0000	1	1	0	0	0	0	0	0	0	0
#0009 [9]	0	1376	288	-4	0000	0000	1	0	55	0	0	0	0	0	0	0
#000A [10]	0	1376	272	0	117F	0000	1	2	0	0	0	0	0	0	0	0
#000B [11]	0	1328	296	0	0000	1167	0	0	21	3	1	0	0	0	0	0
#000C [12]	0	1328	296	0	0000	0000	1	0	628	0	0	0	0	0	0	0
#000D [13]	0	1200	1128	0	121B	0000	1	5	0	0	0	0	0	0	0	0
#000E [14]	0	1520	1064	0	18C0	0000	1	1	0	0	0	0	0	0	0	0
#000F [15]	0	1472	1040	0	18CB	0000	1	1	0	0	0	0	0	0	0	0
#0010 [16]	0	1264	1096	0	1315	0000	0	5	0	0	0	0	0	0	0	0
#0011 [17]	0	1328	1080	4	0000	0000	0	0	57	0	0	0	0	0	0	0
#0012 [18]	0	416	400	0	1223	0000	1	5	0	0	0	0	0	0	0	0
#0013 [19]	0	688	1288	0	122B	0000	1	5	0	0	0	0	0	0	0	0
#0014 [20]	0	704	1072	0	136D	0008	0	3	21	3	2	0	0	0	0	0
#0015 [21]	0	656	1144	4	1383	0000	0	2	57	0	0	0	0	0	0	0
#0016 [22]	0	496	1112	0	18D7	0000	1	1	0	0	0	0	0	0	0	0
#0017 [23]	0	464	1128	0	18DD	0000	1	1	0	0	0	0	0	0	0	0
#0018 [24]	0	416	1152	0	18E3	0000	1	1	0	0	0	0	0	0	0	0
#0019 [25]	0	544	288	0	12EE	0000	0	2	207	3	1	0	0	0	0	0
#001A [26]	0	1360	1112	0	12F1	000E	0	2	29	3	1	0	0	0	0	0
#001B [27]	0	1312	1040	0	12F5	0000	0	2	30	3	0	0	0	0	0	0
#001C [28]	0	1280	256	0	1AFA	0000	0	1	210	0	0	0	0	0	0	0
#001D [29]	0	1280	256	0	0000	0000	0	0	398	1	3	0	0	0	0	0
#001E [30]	0	1280	256	-2	1B6A	0000	0	1	211	0	0	0	0	0	0	0
#001F [31]	0	752	312	0	1C7B	0000	0	2	239	0	0	0	0	0	0	0
#0020 [32]	0	1312	368	0	0B9A	0000	1	1	0	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
