场景号	地图号	进入脚本	传送脚本
$0064 [100]	105	56DC	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0754 [1876]	0	240	472	-9	0000	0206	1	0	196	0	0	0	0	0	0	0
#0755 [1877]	0	288	496	-9	0000	0206	1	0	196	0	0	0	0	0	0	0
#0756 [1878]	0	256	720	-9	0000	0206	1	0	196	0	0	0	0	0	0	0
#0757 [1879]	0	1728	1504	0	0000	0206	1	0	196	0	0	0	0	0	0	0
#0758 [1880]	0	1616	1560	0	0000	0206	1	0	196	0	0	0	0	0	0	0
#0759 [1881]	0	448	320	0	0000	4E15	2	0	81	3	0	0	0	0	0	0
#075A [1882]	0	480	320	0	0000	4E18	2	0	401	3	0	0	0	0	0	0
#075B [1883]	0	496	328	0	0000	4E18	2	0	401	3	0	0	0	0	0	0
#075C [1884]	0	736	608	0	604C	6036	0	8	401	3	3	0	0	0	0	0
#075D [1885]	0	368	264	0	4E6A	0000	1	6	0	0	0	0	0	0	0	0
#075E [1886]	0	1008	568	0	4E76	0000	1	5	0	0	0	0	0	0	0	0
#075F [1887]	0	432	280	0	5E8B	000B	2	2	134	1	0	0	0	0	0	0
#0760 [1888]	0	384	304	0	5E8E	0008	2	2	134	1	2	0	0	0	0	0
#0761 [1889]	0	320	352	0	5E91	0011	2	2	134	1	3	0	0	0	0	0
#0762 [1890]	0	320	352	0	5E91	0011	0	2	134	1	3	0	0	0	0	0
#0763 [1891]	0	352	336	0	5E95	0011	2	2	134	1	3	0	0	0	0	0
#0764 [1892]	0	496	264	0	5EA7	0011	2	2	134	1	3	0	0	0	0	0
#0765 [1893]	0	528	248	0	5EB1	0011	2	2	134	1	3	0	0	0	0	0
#0766 [1894]	0	1248	1424	0	4EB8	0000	1	5	0	0	0	0	0	0	0	0
#0767 [1895]	0	1008	1000	0	4EC8	0000	1	5	0	0	0	0	0	0	0	0
#0768 [1896]	0	736	432	0	4F48	0000	1	5	0	0	0	0	0	0	0	0
#0769 [1897]	0	1440	816	0	4F50	0000	1	5	0	0	0	0	0	0	0	0
#076A [1898]	0	1264	1192	0	4F58	0000	1	5	0	0	0	0	0	0	0	0
#076B [1899]	0	944	1016	0	5104	0000	0	6	400	1	2	0	0	0	0	0
#076C [1900]	0	816	520	0	558E	55BA	0	2	440	0	0	0	0	0	0	0
#076D [1901]	0	592	808	0	5673	55BA	0	2	441	0	0	0	0	0	0	0
#076E [1902]	0	944	1000	0	5F74	0000	2	2	327	1	3	0	0	0	0	0
#076F [1903]	0	912	1000	0	5F74	0000	2	2	321	1	0	0	0	0	0	0
#0770 [1904]	0	992	1040	0	5F77	0000	2	2	327	1	1	0	0	0	0	0
#0771 [1905]	0	880	568	0	0000	0000	2	2	34	0	0	0	0	0	0	0
#0772 [1906]	0	912	584	0	0000	000E	2	2	94	1	1	0	0	0	0	0
#0773 [1907]	0	368	488	0	0000	606A	2	2	149	3	0	0	0	0	0	0
#0774 [1908]	0	1760	1360	0	0000	0002	2	2	402	0	0	0	0	0	0	0
#0775 [1909]	0	1792	1376	0	60A8	000E	2	2	321	1	0	0	0	0	0	0
#0776 [1910]	0	384	464	0	60AB	0000	0	2	149	3	1	0	0	0	0	0
#0777 [1911]	0	288	384	0	60B0	0011	0	2	134	1	3	0	0	0	0	0
#0778 [1912]	0	352	400	0	60B4	000B	0	2	134	1	0	0	0	0	0	0
#0779 [1913]	0	320	448	0	60BF	0000	0	3	476	0	0	0	0	0	0	0
#077A [1914]	0	336	392	0	6162	0000	0	2	616	1	3	0	0	0	0	0
#077B [1915]	0	1584	1368	0	63F1	0000	1	2	312	0	0	0	0	0	0	0
#077C [1916]	0	352	1008	0	63F3	0000	1	2	311	0	0	0	0	0	0	0
#077D [1917]	0	1184	688	0	63F5	0000	1	2	622	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
