场景号	地图号	进入脚本	传送脚本
$0065 [101]	98	653F	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#077E [1918]	0	1856	1776	0	4DBC	0000	1	6	0	0	0	0	0	0	0	0
#077F [1919]	0	928	864	0	64C9	0000	1	5	0	0	0	0	0	0	0	0
#0780 [1920]	0	928	1552	0	4EDD	0000	2	1	387	0	0	0	0	0	0	0
#0781 [1921]	0	272	280	0	6463	0000	1	6	0	0	0	0	0	0	0	0
#0782 [1922]	0	848	904	0	6467	0000	2	7	145	0	0	0	0	0	0	0
#0783 [1923]	0	848	904	0	0000	0000	0	0	19	3	0	0	0	0	0	0
#0784 [1924]	0	0	0	0	0000	0C27	1	0	0	0	0	0	0	0	0	0
#0785 [1925]	0	1584	1640	0	9F1D	A1D1	2	5	591	4	0	0	0	0	0	0
#0786 [1926]	0	1472	1360	0	9F07	0000	2	5	591	4	0	0	0	0	0	0
#0787 [1927]	0	1504	1648	0	9F2B	0002	2	5	625	2	0	0	0	0	0	0
#0788 [1928]	0	1712	1416	0	9F2D	9CC9	2	5	625	2	0	0	0	0	0	0
#0789 [1929]	0	1632	1408	0	9F33	9CCC	2	5	626	2	0	0	0	0	0	0
#078A [1930]	0	1680	1512	0	9F1B	A1D1	2	5	591	4	0	0	0	0	0	0
#078B [1931]	0	1568	1248	0	9F31	9CCC	2	5	626	2	0	0	0	0	0	0
#078C [1932]	0	1664	576	0	9F0D	0000	2	5	591	4	0	0	0	0	0	0
#078D [1933]	0	1456	1064	0	9F2F	0002	2	5	626	2	0	0	0	0	0	0
#078E [1934]	0	1040	1288	0	9F25	A1D1	2	5	591	4	0	0	0	0	0	0
#078F [1935]	0	1264	1592	0	9EDD	A1D1	2	5	591	4	0	0	0	0	0	0
#0790 [1936]	0	1136	1592	0	9F0B	0000	2	5	591	4	0	0	0	0	0	0
#0791 [1937]	0	960	1360	0	9F1D	0000	2	5	591	4	0	0	0	0	0	0
#0792 [1938]	0	1072	1128	0	9F23	0000	2	5	591	4	0	0	0	0	0	0
#0793 [1939]	0	608	1440	0	9EDD	A1D1	2	5	591	4	0	0	0	0	0	0
#0794 [1940]	0	432	936	0	9F09	A1D1	2	5	591	4	0	0	0	0	0	0
#0795 [1941]	0	320	1040	0	9F25	A1D1	2	5	591	4	0	0	0	0	0	0
#0796 [1942]	0	272	824	0	9EDD	0000	2	5	591	4	0	0	0	0	0	0
#0797 [1943]	0	320	576	0	9F1B	A1D1	2	5	591	4	0	0	0	0	0	0
#0798 [1944]	0	384	464	0	09B3	0000	2	1	68	0	0	0	0	0	0	0
#0799 [1945]	0	1680	1528	0	09BA	0000	2	1	68	0	0	0	0	0	0	0
#079A [1946]	0	1808	1416	0	07EF	0000	2	1	10	0	0	0	0	0	0	0
#079B [1947]	0	1392	1096	0	09C1	0000	2	1	68	0	0	0	0	0	0	0
#079C [1948]	0	1376	1536	0	091B	0000	2	1	10	0	0	0	0	0	0	0
#079D [1949]	0	1264	1576	0	09C8	0000	2	1	68	0	0	0	0	0	0	0
#079E [1950]	0	624	1432	0	0957	0000	2	1	10	0	0	0	0	0	0	0
#079F [1951]	0	384	1360	0	09B3	0000	2	1	68	0	0	0	0	0	0	0
#07A0 [1952]	0	656	408	0	09CF	0000	2	1	68	0	0	0	0	0	0	0
#07A1 [1953]	0	560	376	0	08D9	0000	2	1	10	0	0	0	0	0	0	0
#07A2 [1954]	0	736	1056	0	07FB	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
