场景号	地图号	进入脚本	传送脚本
$0066 [102]	97	645E	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#07A3 [1955]	0	480	1344	0	4DB4	0000	1	6	0	0	0	0	0	0	0	0
#07A4 [1956]	0	496	1016	0	4DB8	0000	1	6	0	0	0	0	0	0	0	0
#07A5 [1957]	0	0	0	0	0000	0C27	1	0	0	0	0	0	0	0	0	0
#07A6 [1958]	0	1120	1344	0	63F7	0000	2	2	83	3	3	0	0	0	0	0
#07A7 [1959]	0	1808	1192	0	513E	0000	1	5	0	0	0	0	0	0	0	0
#07A8 [1960]	0	1840	1080	0	0000	51B9	0	0	444	0	0	0	0	0	0	0
#07A9 [1961]	0	1536	1136	0	6448	0002	2	2	402	0	0	0	0	0	0	0
#07AA [1962]	0	1408	1168	0	6452	0000	2	2	343	1	0	0	0	0	0	0
#07AB [1963]	0	1824	1744	0	09A5	0000	1	1	68	0	0	0	0	0	0	0
#07AC [1964]	0	1760	624	0	0945	0000	2	1	10	0	0	0	0	0	0	0
#07AD [1965]	0	1024	672	0	09A5	0000	1	1	68	0	0	0	0	0	0	0
#07AE [1966]	0	1008	1576	0	9EE3	0000	2	5	591	4	0	0	0	0	0	0
#07AF [1967]	0	1440	1632	0	9F31	9CCC	2	5	626	2	0	0	0	0	0	0
#07B0 [1968]	0	1808	1736	0	9F27	0002	2	5	625	2	0	0	0	0	0	0
#07B1 [1969]	0	1472	1360	0	9F2D	9CC9	2	5	625	2	0	0	0	0	0	0
#07B2 [1970]	0	1632	816	0	9EDB	A1D1	2	5	591	4	0	0	0	0	0	0
#07B3 [1971]	0	1584	728	0	9F13	A1D1	2	5	591	4	0	0	0	0	0	0
#07B4 [1972]	0	1552	552	0	9F29	0002	2	5	626	2	0	0	0	0	0	0
#07B5 [1973]	0	1664	576	0	9F0D	A1D1	2	5	591	4	0	0	0	0	0	0
#07B6 [1974]	0	1728	640	0	9F29	9CCC	2	5	626	2	0	0	0	0	0	0
#07B7 [1975]	0	1344	704	0	9EEB	A1D1	2	5	591	4	0	0	0	0	0	0
#07B8 [1976]	0	1056	672	0	9EE3	A1D1	2	5	591	4	0	0	0	0	0	0
#07B9 [1977]	0	1584	728	0	9F2F	9CCC	2	5	626	2	0	0	0	0	0	0
#07BA [1978]	0	1184	752	0	9F23	A1D1	2	5	591	4	0	0	0	0	0	0
#07BB [1979]	0	752	1096	0	9EDB	A1D1	2	5	591	4	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
