场景号	地图号	进入脚本	传送脚本
#0067 [103]	100	6574	64C9	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@07BC [1980]	0	480	1840	0	64CD	0000	1	5	0	0	0	0	0	0	0	0	
@07BD [1981]	0	688	824	0	64D1	0000	1	5	0	0	0	0	0	0	0	0	
@07BE [1982]	0	800	768	0	64D9	0000	1	5	0	0	0	0	0	0	0	0	
@07BF [1983]	0	0	0	0	0000	0C27	1	0	0	0	0	0	0	0	0	0	
@07C0 [1984]	0	848	856	0	64E1	0000	1	8	19	3	1	0	0	0	0	0	
@07C1 [1985]	0	816	888	-3	0000	0000	0	0	485	0	0	0	0	0	0	0	
@07C2 [1986]	0	816	872	0	6567	0000	0	2	0	0	0	0	0	0	0	0	
@07C3 [1987]	0	832	880	0	0000	0000	0	0	0	0	0	0	0	0	0	0	
@07C4 [1988]	0	800	864	0	0000	0000	0	0	0	0	0	0	0	0	0	0	
@07C5 [1989]	0	784	872	0	0000	0000	0	0	0	0	0	0	0	0	0	0	
@07C6 [1990]	0	800	880	0	0000	0000	0	0	0	0	0	0	0	0	0	0	
@07C7 [1991]	0	848	872	0	0000	0000	0	0	0	0	0	0	0	0	0	0	
@07C8 [1992]	0	816	856	0	0000	0000	0	0	0	0	0	0	0	0	0	0	
@07C9 [1993]	0	832	864	0	0000	0000	0	0	0	0	0	0	0	0	0	0	
@07CA [1994]	0	880	1256	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
@07CB [1995]	0	720	1336	0	093F	0000	2	1	10	0	0	0	0	0	0	0	
@07CC [1996]	0	832	1392	0	07A7	0000	2	1	10	0	0	0	0	0	0	0	
@07CD [1997]	0	896	1312	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
@07CE [1998]	0	368	1192	0	0999	0000	2	1	10	0	0	0	0	0	0	0	
@07CF [1999]	0	416	1216	0	0921	0000	2	1	10	0	0	0	0	0	0	0	
@07D0 [2000]	0	1168	1080	0	0939	0000	2	1	10	0	0	0	0	0	0	0	
