场景号	地图号	进入脚本	传送脚本
#0068 [104]	95	4D98	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@07D1 [2001]	0	1408	1792	0	64D5	0000	1	5	0	0	0	0	0	0	0	0	
@07D2 [2002]	0	1552	1720	0	64DD	0000	1	5	0	0	0	0	0	0	0	0	
@07D3 [2003]	0	256	416	0	63E5	0000	1	5	0	0	0	0	0	0	0	0	
@07D4 [2004]	0	0	0	0	0000	0C27	1	0	0	0	0	0	0	0	0	0	
@07D5 [2005]	0	992	1488	0	9F1D	A1D1	2	5	591	4	0	0	0	0	0	0	
@07D6 [2006]	0	336	1608	0	9F2B	9CC9	2	5	625	2	0	0	0	0	0	0	
@07D7 [2007]	0	256	1616	0	9F23	A1D1	2	5	591	4	0	0	0	0	0	0	
@07D8 [2008]	0	352	1568	0	9F2D	0002	2	5	625	2	0	0	0	0	0	0	
@07D9 [2009]	0	224	1504	0	9F25	A1D1	2	5	591	4	0	0	0	0	0	0	
@07DA [2010]	0	464	1336	0	9F33	9CCC	2	5	626	2	0	0	0	0	0	0	
@07DB [2011]	0	320	1312	0	9F1B	0000	2	5	591	4	0	0	0	0	0	0	
@07DC [2012]	0	384	1024	0	9F15	0000	2	5	591	4	0	0	0	0	0	0	
@07DD [2013]	0	720	1064	0	9F23	0000	2	5	591	4	0	0	0	0	0	0	
@07DE [2014]	0	864	1008	0	9F33	9CCC	2	5	626	2	0	0	0	0	0	0	
@07DF [2015]	0	912	984	0	9EE3	A1D1	2	5	591	4	0	0	0	0	0	0	
@07E0 [2016]	0	528	568	0	9F1D	A1D1	2	5	591	4	0	0	0	0	0	0	
@07E1 [2017]	0	768	352	0	9F25	0002	2	5	591	4	0	0	0	0	0	0	
@07E2 [2018]	0	944	760	0	9EDD	A1D1	2	5	591	4	0	0	0	0	0	0	
@07E3 [2019]	0	1232	792	0	9EDB	0000	2	5	591	4	0	0	0	0	0	0	
@07E4 [2020]	0	1200	744	0	9F1D	A1D1	2	5	591	4	0	0	0	0	0	0	
@07E5 [2021]	0	1296	712	0	9F2F	9CCC	2	5	626	2	0	0	0	0	0	0	
@07E6 [2022]	0	1376	304	0	9EDB	A1D1	2	5	591	4	0	0	0	0	0	0	
@07E7 [2023]	0	1616	776	0	9EE7	0000	2	5	591	4	0	0	0	0	0	0	
@07E8 [2024]	0	1648	840	0	9F2B	0002	2	5	625	2	0	0	0	0	0	0	
@07E9 [2025]	0	944	1336	0	9F23	A1D1	2	5	591	4	0	0	0	0	0	0	
@07EA [2026]	0	944	1208	0	9F25	0000	2	5	591	4	0	0	0	0	0	0	
@07EB [2027]	0	1440	1392	0	9F33	9CCC	2	5	626	2	0	0	0	0	0	0	
@07EC [2028]	0	1552	1480	0	9EDD	0000	2	5	591	4	0	0	0	0	0	0	
@07ED [2029]	0	1600	1264	0	9F15	A1D1	2	5	591	4	0	0	0	0	0	0	
@07EE [2030]	0	1600	1312	0	9F1B	A1D1	2	5	591	4	0	0	0	0	0	0	
@07EF [2031]	0	880	1464	0	08C1	0000	2	1	10	0	0	0	0	0	0	0	
@07F0 [2032]	0	816	1640	0	0915	0000	2	1	10	0	0	0	0	0	0	0	
@07F1 [2033]	0	1632	1296	0	091B	0000	2	1	10	0	0	0	0	0	0	0	
@07F2 [2034]	0	1328	680	0	0921	0000	2	1	10	0	0	0	0	0	0	0	
@07F3 [2035]	0	320	720	0	0927	0000	2	1	10	0	0	0	0	0	0	0	
@07F4 [2036]	0	592	568	0	091B	0000	2	1	10	0	0	0	0	0	0	0	
@07F5 [2037]	0	1440	432	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
@07F6 [2038]	0	832	992	0	0957	0000	2	1	10	0	0	0	0	0	0	0	
@07F7 [2039]	0	880	792	0	07E3	0000	2	1	10	0	0	0	0	0	0	0	
