场景号	地图号	进入脚本	传送脚本
$006C [108]	108	545E	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0817 [2071]	0	1168	1048	0	4E1C	0000	1	5	0	0	0	0	0	0	0	0
#0818 [2072]	0	816	1080	0	4E24	0000	1	5	0	0	0	0	0	0	0	0
#0819 [2073]	0	672	1888	0	4E3C	0000	1	5	0	0	0	0	0	0	0	0
#081A [2074]	0	688	1256	0	5821	000B	2	2	634	1	0	0	0	0	0	0
#081B [2075]	0	752	1288	0	5833	000B	2	2	634	1	0	0	0	0	0	0
#081C [2076]	0	800	1408	0	5846	0000	0	6	23	3	3	0	0	0	0	0
#081D [2077]	0	912	1128	0	576D	0000	0	7	634	1	1	0	0	0	0	0
#081E [2078]	0	592	1528	0	5C6D	5C49	0	2	81	3	2	0	0	0	0	0
#081F [2079]	0	528	1544	0	0000	5C49	0	0	401	3	2	0	0	0	0	0
#0820 [2080]	0	560	1560	0	0000	5C49	0	0	401	3	2	0	0	0	0	0
#0821 [2081]	0	656	1448	0	5BA6	0000	0	8	405	3	3	0	0	0	0	0
#0822 [2082]	0	704	1104	18	0000	5E1B	0	0	445	0	0	4	0	0	0	0
#0823 [2083]	0	704	1248	0	5F45	0000	0	1	457	0	0	3	0	0	0	0
#0824 [2084]	0	768	1296	0	5F45	0000	0	1	457	0	0	1	0	0	0	0
#0825 [2085]	0	752	1448	0	6267	0000	0	8	445	1	1	0	0	0	0	0
#0826 [2086]	0	768	1456	0	0000	0000	0	0	451	0	0	0	0	0	0	0
#0827 [2087]	0	672	1424	0	0000	0000	0	0	459	0	0	0	0	0	0	0
#0828 [2088]	0	688	1768	5	0000	00EC	1	0	166	2	0	0	0	0	0	0
#0829 [2089]	0	704	1696	5	0000	00EC	1	0	161	2	0	0	0	0	0	0
#082A [2090]	0	512	1696	5	0000	0135	1	0	160	2	0	0	0	0	0	0
#082B [2091]	0	400	1848	5	0000	00EC	1	0	166	2	0	0	0	0	0	0
#082C [2092]	0	288	1808	5	0000	0135	1	0	162	2	0	0	0	0	0	0
#082D [2093]	0	576	1568	5	0000	00EC	1	0	166	2	0	0	0	0	0	0
#082E [2094]	0	640	1520	5	0000	0135	1	0	161	2	0	0	0	0	0	0
#082F [2095]	0	672	1584	5	0000	00EC	1	0	160	2	0	0	0	0	0	0
#0830 [2096]	0	832	1328	5	0000	00EC	1	0	166	2	0	0	0	0	0	0
#0831 [2097]	0	768	1392	5	0000	0135	1	0	162	2	0	0	0	0	0	0
#0832 [2098]	0	912	1384	5	0000	00EC	1	0	166	2	0	0	0	0	0	0
#0833 [2099]	0	896	1408	5	0000	0135	1	0	161	2	0	0	0	0	0	0
#0834 [2100]	0	848	1416	5	0000	00EC	1	0	160	2	0	0	0	0	0	0
#0835 [2101]	0	880	1464	5	0000	0135	1	0	166	2	0	0	0	0	0	0
#0836 [2102]	0	752	1288	5	0000	00EC	1	0	162	2	0	0	0	0	0	0
#0837 [2103]	0	816	1480	5	0000	00EC	1	0	166	2	0	0	0	0	0	0
#0838 [2104]	0	912	1448	5	0000	0135	1	0	161	2	0	0	0	0	0	0
#0839 [2105]	0	688	1352	5	0000	0135	1	0	160	2	0	0	0	0	0	0
#083A [2106]	0	1184	1168	5	0000	00EC	1	0	166	2	0	0	0	0	0	0
#083B [2107]	0	1056	1184	5	0000	0135	1	0	162	2	0	0	0	0	0	0
#083C [2108]	0	1040	1240	5	0000	00EC	1	0	166	2	0	0	0	0	0	0
#083D [2109]	0	1136	1240	5	0000	00EC	1	0	161	2	0	0	0	0	0	0
#083E [2110]	0	640	1568	0	6578	0000	2	1	308	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
