场景号	地图号	进入脚本	传送脚本
#006E [110]	103	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0853 [2131]	0	1024	736	0	5132	0000	1	5	0	0	0	0	0	0	0	0	
@0854 [2132]	0	864	592	0	0000	0000	2	0	26	3	2	0	0	0	0	0	
@0855 [2133]	0	768	672	3	0000	0000	0	0	435	0	0	0	0	0	0	0	
@0856 [2134]	0	752	664	0	0000	0000	0	0	26	3	3	0	0	0	0	0	
@0857 [2135]	0	800	672	3	0000	0000	0	0	433	0	0	0	0	0	0	0	
@0858 [2136]	0	816	696	1	0000	0000	0	0	434	0	0	0	0	0	0	0	
@0859 [2137]	0	928	688	0	52CE	52C2	2	7	198	3	3	0	0	0	0	0	
@085A [2138]	0	992	720	0	0000	5380	0	0	423	3	1	0	0	0	0	0	
@085B [2139]	0	1024	592	0	0000	000E	2	2	198	3	1	0	0	0	0	0	
@085C [2140]	0	1088	656	0	0000	0008	2	2	199	3	2	0	0	0	0	0	
@085D [2141]	0	672	720	3	0000	0000	2	2	421	0	0	0	0	0	0	0	
@085E [2142]	0	704	720	3	0000	0000	2	2	420	0	0	0	0	0	0	0	
@085F [2143]	0	768	768	3	0000	0000	2	2	421	0	0	0	0	0	0	0	
@0860 [2144]	0	928	576	0	0000	0008	2	2	198	3	2	0	0	0	0	0	
@0861 [2145]	0	784	664	4	0000	0000	0	0	209	0	0	0	0	0	0	0	
@0862 [2146]	0	784	648	4	0000	0000	0	0	308	0	0	0	0	0	0	0	
