场景号	地图号	进入脚本	传送脚本
#0071 [113]	106	4EB2	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@088B [2187]	0	544	1904	0	4DA4	0000	1	6	0	0	0	0	0	0	0	0	
@088C [2188]	0	1584	1912	0	4DAC	0000	1	6	0	0	0	0	0	0	0	0	
@088D [2189]	0	1008	1480	0	0000	0386	1	0	301	1	3	0	0	0	0	0	
@088E [2190]	0	816	1368	0	0000	0386	1	0	301	1	1	0	0	0	0	0	
@088F [2191]	0	1072	1544	0	0000	0386	1	0	301	1	2	0	0	0	0	0	
@0890 [2192]	0	592	1944	0	9F11	A1D1	2	5	591	4	0	0	0	0	0	0	
@0891 [2193]	0	544	1600	0	9F11	A1D1	2	5	591	4	0	0	0	0	0	0	
@0892 [2194]	0	1696	1792	0	9F2F	9CCC	2	5	626	2	0	0	0	0	0	0	
@0893 [2195]	0	1456	1592	0	9F11	A1D1	2	5	591	4	0	0	0	0	0	0	
@0894 [2196]	0	1008	1336	0	9F11	A1D1	2	5	591	4	0	0	0	0	0	0	
@0895 [2197]	0	1008	1720	0	9F31	9CCC	2	5	626	2	0	0	0	0	0	0	
