场景号	地图号	进入脚本	传送脚本
$0077 [119]	111	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#08C9 [2249]	0	672	528	0	4E59	0000	1	5	0	0	0	0	0	0	0	0
#08CA [2250]	0	480	608	-8	5936	0000	0	2	449	0	0	0	0	0	0	0
#08CB [2251]	0	448	608	0	5DD9	0011	0	2	249	1	3	0	0	0	0	0
#08CC [2252]	0	496	632	0	5DDD	000E	0	2	249	1	1	0	0	0	0	0
#08CD [2253]	0	544	624	0	5DD9	000B	0	2	249	1	0	0	0	0	0	0
#08CE [2254]	0	576	640	0	5DDD	000B	0	2	249	1	0	0	0	0	0	0
#08CF [2255]	0	432	632	0	5DE1	0000	0	2	81	3	2	0	0	0	0	0
#08D0 [2256]	0	448	656	0	0000	0000	0	0	397	1	2	0	0	0	0	0
#08D1 [2257]	0	480	624	0	0000	0000	0	0	136	1	2	0	0	0	0	0
#08D2 [2258]	0	528	600	0	0000	0000	1	0	232	0	0	0	0	0	0	0
#08D3 [2259]	0	448	608	0	5F45	0000	0	1	456	0	0	5	0	0	0	0
#08D4 [2260]	0	544	624	0	5F45	0000	0	1	456	0	0	3	0	0	0	0
#08D5 [2261]	0	480	592	0	5F48	0000	0	8	454	0	0	0	0	0	0	0
#08D6 [2262]	0	496	776	0	62C1	0000	2	1	10	0	0	0	0	0	0	0
#08D7 [2263]	0	560	552	0	62C8	0000	2	1	10	0	0	0	0	0	0	0
#08D8 [2264]	0	944	616	0	62CE	0000	2	1	389	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
