场景号	地图号	进入脚本	传送脚本
#007F [127]	115	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@08F9 [2297]	0	704	704	0	4E7A	0000	1	5	0	0	0	0	0	0	0	0	
@08FA [2298]	0	720	552	0	4E7E	0000	1	5	0	0	0	0	0	0	0	0	
@08FB [2299]	0	1008	536	0	5080	5083	2	2	410	3	3	0	0	0	0	0	
@08FC [2300]	0	976	568	0	5095	0000	2	3	117	1	0	0	0	0	0	0	
@08FD [2301]	0	928	528	0	50A0	000E	2	2	127	1	1	0	0	0	0	0	
@08FE [2302]	0	912	696	0	6060	0000	1	2	276	0	0	0	0	0	0	0	
@08FF [2303]	0	880	696	0	6060	0000	1	2	183	0	0	0	0	0	0	0	
@0900 [2304]	0	816	552	0	5F7B	0000	2	2	123	1	0	0	0	0	0	0	
@0901 [2305]	0	656	568	0	0000	0000	2	2	371	0	0	0	0	0	0	0	
@0902 [2306]	0	672	560	0	0000	0000	2	0	370	0	0	0	0	0	0	0	
