场景号	地图号	进入脚本	传送脚本
#008B [139]	130	66BF	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0974 [2420]	0	416	1856	0	62D9	0000	1	5	0	0	0	0	0	0	0	0	
@0975 [2421]	0	528	744	0	65CE	0000	1	5	0	0	0	0	0	0	0	0	
@0976 [2422]	0	608	784	0	65DF	0000	1	5	0	0	0	0	0	0	0	0	
@0977 [2423]	0	576	688	0	0000	65D6	0	0	481	0	0	0	0	0	0	0	
@0978 [2424]	0	1008	1640	0	9F37	9CB9	2	5	488	2	0	0	0	0	0	0	
@0979 [2425]	0	1440	1728	0	9F3F	9CC9	2	5	60	0	0	0	0	0	0	0	
@097A [2426]	0	992	1392	0	9F43	9CC9	2	5	488	2	0	0	0	0	0	0	
@097B [2427]	0	1776	1688	0	9F49	9CC9	2	5	488	2	0	0	0	0	0	0	
@097C [2428]	0	928	1136	0	9F45	9CC9	2	5	488	2	0	0	0	0	0	0	
@097D [2429]	0	720	984	0	9F47	9CC9	2	5	488	2	0	0	0	0	0	0	
@097E [2430]	0	1360	968	0	9F3B	9CB9	2	5	488	2	0	0	0	0	0	0	
@097F [2431]	0	1104	600	0	9F43	9CC9	2	5	488	2	0	0	0	0	0	0	
@0980 [2432]	0	1376	448	0	9F3D	9CC9	2	5	488	2	0	0	0	0	0	0	
@0981 [2433]	0	1488	776	0	9F41	9CC9	2	5	488	2	0	0	0	0	0	0	
@0982 [2434]	0	944	1384	0	09B3	0000	1	1	68	0	0	0	0	0	0	0	
@0983 [2435]	0	1328	1720	0	09D6	0000	1	1	68	0	0	0	0	0	0	0	
@0984 [2436]	0	1136	1224	0	09C8	0000	1	1	68	0	0	0	0	0	0	0	
@0985 [2437]	0	1488	344	0	0843	0000	2	1	10	0	0	0	0	0	0	0	
@0986 [2438]	0	1040	456	0	0957	0000	2	1	10	0	0	0	0	0	0	0	
@0987 [2439]	0	992	608	0	08D3	0000	2	1	10	0	0	0	0	0	0	0	
@0988 [2440]	0	848	824	0	075F	0000	2	1	10	0	0	0	0	0	0	0	
@0989 [2441]	0	1312	432	0	08C7	0000	2	1	10	0	0	0	0	0	0	0	
@098A [2442]	0	1632	672	0	07EF	0000	2	1	10	0	0	0	0	0	0	0	
@098B [2443]	0	768	992	0	09DD	0000	1	1	68	0	0	0	0	0	0	0	
@098C [2444]	0	1792	1712	0	09BA	0000	1	1	68	0	0	0	0	0	0	0	
@098D [2445]	0	1184	816	0	0957	0000	2	1	10	0	0	0	0	0	0	0	
@098E [2446]	0	944	1112	0	09A5	0000	1	1	68	0	0	0	0	0	0	0	
