场景号	地图号	进入脚本	传送脚本
$000E [014]	119	25A8	2587	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#00CA [202]	0	240	856	0	2573	0000	1	5	0	0	0	0	0	0	0	0
#00CB [203]	0	1856	1040	0	2583	0000	1	5	0	0	0	0	0	0	0	0
#00CC [204]	0	1104	1432	5	25AA	0000	1	1	338	0	0	0	0	0	0	0
#00CD [205]	0	1088	1424	0	2640	0000	0	5	0	0	0	0	0	0	0	0
#00CE [206]	0	1648	1080	-1	0000	0000	1	0	67	0	0	0	0	0	0	0
#00CF [207]	0	1792	1152	-1	0000	0000	1	0	67	0	0	0	0	0	0	0
#00D0 [208]	0	1744	1096	0	258B	0000	1	5	0	0	0	0	0	0	0	0
#00D1 [209]	0	1280	1536	0	0000	2597	1	0	339	0	0	0	0	0	0	0
#00D2 [210]	0	1120	1408	10	0000	26F7	0	0	362	0	0	0	0	0	0	0
#00D3 [211]	0	896	1232	0	0000	2707	0	0	363	0	0	0	0	0	0	0
#00D4 [212]	0	0	0	0	0000	26FD	0	0	0	0	0	0	0	0	0	0
#00D5 [213]	0	992	1280	0	0000	0000	0	0	3	3	3	0	0	0	0	0
#00D6 [214]	0	528	680	0	0A00	0000	1	1	0	0	0	0	0	0	0	0
#00D7 [215]	0	688	792	0	0A00	0000	1	1	0	0	0	0	0	0	0	0
#00D8 [216]	0	896	560	0	09AC	0000	1	1	0	0	0	0	0	0	0	0
#00D9 [217]	0	1184	288	0	09AC	0000	1	1	0	0	0	0	0	0	0	0
#00DA [218]	0	944	168	0	0A00	0000	1	1	0	0	0	0	0	0	0	0
#00DB [219]	0	1392	584	0	09AC	0000	1	1	0	0	0	0	0	0	0	0
#00DC [220]	0	1232	1048	0	0A00	0000	1	1	0	0	0	0	0	0	0	0
#00DD [221]	0	1232	1240	0	09AC	0000	1	1	0	0	0	0	0	0	0	0
#00DE [222]	0	1360	1304	0	09AC	0000	1	1	0	0	0	0	0	0	0	0
#00DF [223]	0	1472	1408	0	0A00	0000	1	1	0	0	0	0	0	0	0	0
#00E0 [224]	0	1120	464	0	0A00	0000	1	1	0	0	0	0	0	0	0	0
#00E1 [225]	0	880	248	0	09A5	0000	1	1	69	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
