场景号	地图号	进入脚本	传送脚本
#0093 [147]	146	68A6	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@09B2 [2482]	0	1104	376	0	68CA	0000	1	5	0	0	0	0	0	0	0	0	
@09B3 [2483]	0	1472	1136	0	6C61	0000	2	1	505	0	0	0	0	0	0	0	
@09B4 [2484]	0	1472	1120	9	0000	0000	0	0	109	0	0	0	0	0	0	0	
@09B5 [2485]	0	1424	1160	0	0000	6D04	0	0	25	3	3	0	0	0	0	0	
@09B6 [2486]	0	0	0	0	0000	0000	0	0	0	0	0	0	0	0	0	0	
@09B7 [2487]	0	1536	752	0	9F87	0005	2	5	464	0	0	0	0	0	0	0	
@09B8 [2488]	0	560	696	0	9F7F	9CB9	2	5	470	4	0	0	0	0	0	0	
@09B9 [2489]	0	448	1008	0	9F83	9CAD	2	5	464	0	0	0	0	0	0	0	
@09BA [2490]	0	1024	720	0	9F8F	0002	2	5	464	0	0	0	0	0	0	0	
@09BB [2491]	0	1200	904	0	9F87	9CAD	2	5	466	0	0	0	0	0	0	0	
@09BC [2492]	0	1024	1120	0	9F7D	9CAD	2	5	11	0	0	0	0	0	0	0	
@09BD [2493]	0	720	888	0	9F91	9CAD	2	5	466	0	0	0	0	0	0	0	
@09BE [2494]	0	1152	784	0	9F83	9CAD	2	5	466	0	0	0	0	0	0	0	
@09BF [2495]	0	896	1232	0	9F93	0005	2	5	466	0	0	0	0	0	0	0	
@09C0 [2496]	0	1200	1096	0	9F87	9CB9	2	5	470	4	0	0	0	0	0	0	
@09C1 [2497]	0	1600	832	0	9F7D	9CAD	2	5	466	0	0	0	0	0	0	0	
@09C2 [2498]	0	368	1064	0	9F83	9CB9	2	5	470	4	0	0	0	0	0	0	
@09C3 [2499]	0	656	1240	0	0789	0000	2	1	10	0	0	0	0	0	0	0	
@09C4 [2500]	0	656	584	0	07A7	0000	2	1	10	0	0	0	0	0	0	0	
@09C5 [2501]	0	880	632	0	0789	0000	2	1	10	0	0	0	0	0	0	0	
@09C6 [2502]	0	944	600	0	0789	0000	2	1	10	0	0	0	0	0	0	0	
@09C7 [2503]	0	1504	864	0	07EF	0000	2	1	10	0	0	0	0	0	0	0	
@09C8 [2504]	0	336	1032	0	0795	0000	2	1	10	0	0	0	0	0	0	0	
