场景号	地图号	进入脚本	传送脚本
$0094 [148]	146	68A6	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#09C9 [2505]	0	320	576	0	68D2	0000	1	5	0	0	0	0	0	0	0	0
#09CA [2506]	0	368	600	-2	0000	0000	1	0	491	0	0	0	0	0	0	0
#09CB [2507]	0	352	592	0	6C33	0000	2	2	0	0	0	0	0	0	0	0
#09CC [2508]	0	336	600	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#09CD [2509]	0	368	584	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#09CE [2510]	0	896	1440	0	0000	0000	0	0	12	3	3	0	0	0	0	0
#09CF [2511]	0	864	1440	0	6D0D	0000	2	2	506	0	0	0	0	0	0	0
#09D0 [2512]	0	448	576	0	0000	6C2D	0	0	12	3	0	0	0	0	0	0
#09D1 [2513]	0	320	800	0	9F6B	9CB3	2	5	495	3	0	0	0	0	0	0
#09D2 [2514]	0	368	968	0	9F6D	9CB3	2	5	495	3	0	0	0	0	0	0
#09D3 [2515]	0	512	1056	0	9D58	0005	2	5	11	0	0	0	0	0	0	0
#09D4 [2516]	0	864	832	0	A101	9CAD	2	5	11	0	0	0	0	0	0	0
#09D5 [2517]	0	624	744	0	9F8B	9CAD	2	5	464	0	0	0	0	0	0	0
#09D6 [2518]	0	1168	840	0	9F85	9CB3	2	5	495	3	0	0	0	0	0	0
#09D7 [2519]	0	688	1192	0	9F8B	9CAD	2	5	464	0	0	0	0	0	0	0
#09D8 [2520]	0	560	1288	0	9F8D	9CAD	2	5	464	0	0	0	0	0	0	0
#09D9 [2521]	0	896	1104	0	9F87	9CCC	2	5	495	3	0	0	0	0	0	0
#09DA [2522]	0	1120	1056	0	9F6F	9CCC	2	5	495	3	0	0	0	0	0	0
#09DB [2523]	0	1056	1184	0	9F3F	9CAD	2	5	11	0	0	0	0	0	0	0
#09DC [2524]	0	928	1264	0	9F69	0002	2	5	460	0	0	0	0	0	0	0
#09DD [2525]	0	1440	1088	0	9F6D	9CCC	2	5	495	3	0	0	0	0	0	0
#09DE [2526]	0	1632	1184	0	9F89	9CB3	2	5	495	3	0	0	0	0	0	0
#09DF [2527]	0	1232	888	0	9F7F	9CAD	2	5	464	0	0	0	0	0	0	0
#09E0 [2528]	0	1520	1240	0	9F6F	9CB3	2	5	495	3	0	0	0	0	0	0
#09E1 [2529]	0	1056	656	0	9F85	0005	2	5	464	0	0	0	0	0	0	0
#09E2 [2530]	0	1088	512	0	9F6F	9CB3	2	5	495	3	0	0	0	0	0	0
#09E3 [2531]	0	1232	664	0	9F69	9CAD	2	5	460	0	0	0	0	0	0	0
#09E4 [2532]	0	1520	536	0	9F89	9CB3	2	5	495	3	0	0	0	0	0	0
#09E5 [2533]	0	848	472	0	9F69	9CAD	2	5	460	0	0	0	0	0	0	0
#09E6 [2534]	0	1248	272	0	A0B5	9CAD	2	5	11	0	0	0	0	0	0	0
#09E7 [2535]	0	1536	416	0	9F6F	9CB3	2	5	495	3	0	0	0	0	0	0
#09E8 [2536]	0	1536	608	0	9F8B	9CAD	2	5	464	0	0	0	0	0	0	0
#09E9 [2537]	0	656	872	0	9CF0	0005	2	5	11	0	0	0	0	0	0	0
#09EA [2538]	0	1184	688	0	0993	0000	2	1	10	0	0	0	0	0	0	0
#09EB [2539]	0	1248	1312	0	05C1	0000	2	1	10	0	0	0	0	0	0	0
#09EC [2540]	0	848	1080	0	07C5	0000	2	1	10	0	0	0	0	0	0	0
#09ED [2541]	0	608	864	0	0987	0000	2	1	10	0	0	0	0	0	0	0
#09EE [2542]	0	656	680	0	075F	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
