场景号	地图号	进入脚本	传送脚本
#0099 [153]	147	6D09	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0A03 [2563]	0	1648	440	0	0000	0000	2	0	400	1	3	0	0	0	0	0	
@0A04 [2564]	0	1712	408	0	0000	0000	2	0	512	4	0	0	0	0	0	0	
@0A05 [2565]	0	1504	336	0	0000	6F66	0	0	12	3	2	0	0	0	0	0	
@0A06 [2566]	0	1456	456	0	0000	6F6A	1	0	620	3	2	0	0	0	0	0	
@0A07 [2567]	0	1424	472	0	0000	6F6D	1	0	620	3	2	0	0	0	0	0	
@0A08 [2568]	0	1504	288	0	0000	6F70	1	0	492	3	2	0	0	0	0	0	
@0A09 [2569]	0	1440	288	0	0000	6F72	1	0	492	3	2	0	0	0	0	0	
@0A0A [2570]	0	1472	480	0	0000	6F74	1	0	494	3	2	0	0	0	0	0	
@0A0B [2571]	0	1424	504	0	0000	6F78	1	0	494	3	2	0	0	0	0	0	
@0A0C [2572]	0	1376	528	0	0000	6F7C	1	0	494	3	2	0	0	0	0	0	
@0A0D [2573]	0	1424	360	0	0000	6F80	1	0	492	3	2	0	0	0	0	0	
@0A0E [2574]	0	1392	312	0	0000	6F82	1	0	492	3	2	0	0	0	0	0	
@0A0F [2575]	0	1472	272	0	0000	6F84	1	0	492	3	2	0	0	0	0	0	
@0A10 [2576]	0	1712	456	0	0000	0000	0	0	504	0	0	0	0	0	0	0	
