场景号	地图号	进入脚本	传送脚本
$009A [154]	147	6D09	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0A11 [2577]	0	1504	1408	0	68D6	0000	1	5	0	0	0	0	0	0	0	0
#0A12 [2578]	0	1152	1120	0	68DA	0000	1	5	0	0	0	0	0	0	0	0
#0A13 [2579]	0	1488	1400	-2	0000	0000	1	0	491	0	0	6	0	0	0	0
#0A14 [2580]	0	1392	776	0	6E35	0000	2	2	504	0	0	0	0	0	0	0
#0A15 [2581]	0	1376	768	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0A16 [2582]	0	1072	1080	0	6DC3	000B	2	2	492	3	0	0	0	0	0	0
#0A17 [2583]	0	1664	1200	0	9F8B	9CB3	2	5	495	3	0	0	0	0	0	0
#0A18 [2584]	0	800	896	0	A06D	9CAD	2	5	11	0	0	0	0	0	0	0
#0A19 [2585]	0	336	1128	0	9F73	0000	2	5	470	4	0	0	0	0	0	0
#0A1A [2586]	0	544	784	0	9F75	9CB9	2	5	470	4	0	0	0	0	0	0
#0A1B [2587]	0	704	800	0	A06D	9CAD	2	5	11	0	0	0	0	0	0	0
#0A1C [2588]	0	608	656	0	9F8B	9CB3	2	5	495	3	0	0	0	0	0	0
#0A1D [2589]	0	800	560	0	A06D	9CAD	2	5	11	0	0	0	0	0	0	0
#0A1E [2590]	0	880	648	0	9F8B	9CB3	2	5	495	3	0	0	0	0	0	0
#0A1F [2591]	0	1040	648	0	9F8D	0005	2	5	470	4	0	0	0	0	0	0
#0A20 [2592]	0	1200	664	0	9F87	0005	2	5	470	4	0	0	0	0	0	0
#0A21 [2593]	0	1056	768	0	A06D	0005	2	5	11	0	0	0	0	0	0	0
#0A22 [2594]	0	1296	744	0	9F77	9CB9	2	5	470	4	0	0	0	0	0	0
#0A23 [2595]	0	848	712	0	9F73	9CB9	2	5	470	4	0	0	0	0	0	0
#0A24 [2596]	0	1008	696	0	9F6D	9CCC	2	5	495	3	0	0	0	0	0	0
#0A25 [2597]	0	1104	1320	0	9F89	9CB9	2	5	470	4	0	0	0	0	0	0
#0A26 [2598]	0	1424	1240	0	A06D	9CAD	2	5	11	0	0	0	0	0	0	0
#0A27 [2599]	0	1056	1440	0	9F69	9CAD	2	5	460	0	0	0	0	0	0	0
#0A28 [2600]	0	1088	1184	0	9F8B	0000	2	5	495	3	0	0	0	0	0	0
#0A29 [2601]	0	720	1112	0	A06D	9CAD	2	5	11	0	0	0	0	0	0	0
#0A2A [2602]	0	768	1200	0	9F85	9CB3	2	5	495	3	0	0	0	0	0	0
#0A2B [2603]	0	528	1128	0	9F71	0005	2	5	470	4	0	0	0	0	0	0
#0A2C [2604]	0	928	992	0	9F75	9CB9	2	5	470	4	0	0	0	0	0	0
#0A2D [2605]	0	1008	1064	0	9F89	9CB9	2	5	470	4	0	0	0	0	0	0
#0A2E [2606]	0	912	552	0	9F81	0000	2	5	470	4	0	0	0	0	0	0
#0A2F [2607]	0	944	824	0	0735	0000	2	1	10	0	0	0	0	0	0	0
#0A30 [2608]	0	320	1136	0	053D	0000	2	1	10	0	0	2	0	0	0	0
#0A31 [2609]	0	800	1168	0	08BB	0000	2	1	10	0	0	0	0	0	0	0
#0A32 [2610]	0	352	752	0	07EF	0000	2	1	10	0	0	0	0	0	0	0
#0A33 [2611]	0	704	576	0	0795	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
