场景号	地图号	进入脚本	传送脚本
#009F [159]	136	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0AC4 [2756]	0	1088	1248	0	6A66	0000	2	2	358	3	2	0	0	0	0	0	
@0AC5 [2757]	0	1024	1232	0	6A7F	0000	2	2	16	3	3	0	0	0	0	0	
@0AC6 [2758]	0	512	1536	0	6990	0000	1	8	0	0	0	0	0	0	0	0	
@0AC7 [2759]	0	1280	1120	0	6994	0000	1	6	0	0	0	0	0	0	0	0	
@0AC8 [2760]	0	1008	1128	0	699C	0000	1	5	0	0	0	0	0	0	0	0	
@0AC9 [2761]	0	848	1128	0	69A4	0000	1	5	0	0	0	0	0	0	0	0	
@0ACA [2762]	0	880	1160	6	0000	001D	1	0	8	0	0	0	0	0	0	0	
@0ACB [2763]	0	848	1176	6	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0ACC [2764]	0	816	1192	6	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0ACD [2765]	0	784	1208	6	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0ACE [2766]	0	752	1224	6	0000	001D	1	0	8	0	0	0	0	0	0	0	
@0ACF [2767]	0	720	1240	6	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0AD0 [2768]	0	688	1256	6	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0AD1 [2769]	0	656	1272	6	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0AD2 [2770]	0	624	1288	6	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0AD3 [2771]	0	880	1192	4	0000	001D	1	0	8	0	0	0	0	0	0	0	
@0AD4 [2772]	0	848	1208	4	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0AD5 [2773]	0	816	1224	4	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0AD6 [2774]	0	784	1240	4	0000	001D	1	0	8	0	0	0	0	0	0	0	
@0AD7 [2775]	0	752	1256	4	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0AD8 [2776]	0	720	1272	4	0000	001D	1	0	8	0	0	0	0	0	0	0	
@0AD9 [2777]	0	688	1288	4	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0ADA [2778]	0	656	1304	4	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0ADB [2779]	0	624	1320	4	0000	001C	1	0	8	0	0	0	0	0	0	0	
