场景号	地图号	进入脚本	传送脚本
$00A0 [160]	136	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0ADC [2780]	0	656	808	0	69A8	0000	1	5	0	0	0	0	0	0	0	0
#0ADD [2781]	0	608	1552	0	69A0	0000	1	5	0	0	0	0	0	0	0	0
#0ADE [2782]	0	672	1424	4	6ABE	0000	1	3	396	0	0	0	0	0	0	0
#0ADF [2783]	0	656	1416	0	6B13	0011	2	2	111	1	3	0	0	0	0	0
#0AE0 [2784]	0	544	688	0	6B22	000E	0	2	358	3	1	0	0	0	0	0
#0AE1 [2785]	0	752	1384	0	7302	0000	1	1	0	0	0	0	0	0	0	0
#0AE2 [2786]	0	848	1432	0	7307	0000	1	1	0	0	0	0	0	0	0	0
#0AE3 [2787]	0	688	1352	0	730C	0000	1	1	0	0	0	0	0	0	0	0
#0AE4 [2788]	0	656	1368	0	7311	0000	1	1	0	0	0	0	0	0	0	0
#0AE5 [2789]	0	608	1392	0	7316	0000	1	1	0	0	0	0	0	0	0	0
#0AE6 [2790]	0	560	1416	0	731B	0000	1	1	0	0	0	0	0	0	0	0
#0AE7 [2791]	0	528	1432	0	7320	0000	1	1	0	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
