场景号	地图号	进入脚本	传送脚本
$00A1 [161]	137	689B	69B4	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0AE8 [2792]	0	1792	928	0	68AE	0000	1	5	0	0	0	0	0	0	0	0
#0AE9 [2793]	0	400	1768	0	69B4	0000	1	6	0	0	0	0	0	0	0	0
#0AEA [2794]	0	880	1576	10	9F5B	9CAA	2	5	623	1	0	0	0	0	0	0
#0AEB [2795]	0	1184	1744	10	9F59	9CAA	2	5	624	2	0	0	0	0	0	0
#0AEC [2796]	0	272	1240	10	9F61	9CAA	2	5	624	2	0	0	0	0	0	0
#0AED [2797]	0	1264	1416	10	9F4F	9CAA	2	5	623	1	0	0	0	0	0	0
#0AEE [2798]	0	1088	1168	10	9F55	9CAA	2	5	623	1	0	0	0	0	0	0
#0AEF [2799]	0	672	1040	10	9F51	9CAA	2	5	623	1	0	0	0	0	0	0
#0AF0 [2800]	0	976	1000	10	9F57	9CAA	2	5	623	1	0	0	0	0	0	0
#0AF1 [2801]	0	848	712	10	9F65	9CAA	2	5	623	1	0	0	0	0	0	0
#0AF2 [2802]	0	1632	784	10	9F5D	9CAA	2	5	623	1	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
