场景号	地图号	进入脚本	传送脚本
#00A6 [166]	145	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0B29 [2857]	0	976	1720	0	68C6	0000	1	5	0	0	0	0	0	0	0	0	
@0B2A [2858]	0	720	1688	0	9EDF	0000	2	5	621	3	0	0	0	0	0	0	
@0B2B [2859]	0	1232	1688	0	9F8F	0002	2	5	621	3	0	0	0	0	0	0	
@0B2C [2860]	0	1360	1528	0	9F93	9CB3	2	5	621	3	0	0	0	0	0	0	
@0B2D [2861]	0	1664	1424	0	9F73	0000	2	5	470	4	0	0	0	0	0	0	
@0B2E [2862]	0	1600	1184	0	9F75	0002	2	5	470	4	0	0	0	0	0	0	
@0B2F [2863]	0	1120	1536	0	9F7F	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B30 [2864]	0	1504	1424	0	9F7D	0005	2	5	11	0	0	0	0	0	0	0	
@0B31 [2865]	0	1456	1096	0	9E9F	9CAD	2	5	11	0	0	0	0	0	0	0	
@0B32 [2866]	0	1120	1200	0	9F83	9CAD	2	5	464	0	0	0	0	0	0	0	
@0B33 [2867]	0	1152	1312	0	9EDF	9CB3	2	5	621	3	0	0	0	0	0	0	
@0B34 [2868]	0	576	1136	0	9F87	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B35 [2869]	0	496	1288	0	9F87	0005	2	5	470	4	0	0	0	0	0	0	
@0B36 [2870]	0	672	1344	0	9F7D	0005	2	5	11	0	0	0	0	0	0	0	
@0B37 [2871]	0	992	1424	0	9F77	0002	2	5	470	4	0	0	0	0	0	0	
@0B38 [2872]	0	592	1304	0	9F73	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B39 [2873]	0	1200	1080	0	9EC3	9CAD	2	5	11	0	0	0	0	0	0	0	
@0B3A [2874]	0	656	888	0	9F7F	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B3B [2875]	0	272	1416	0	9F7D	0005	2	5	11	0	0	0	0	0	0	0	
@0B3C [2876]	0	304	936	0	9F8F	0000	2	5	621	3	0	0	0	0	0	0	
@0B3D [2877]	0	512	864	0	9F93	9CB3	2	5	621	3	0	0	0	0	0	0	
@0B3E [2878]	0	352	672	0	9F83	9CAD	2	5	464	0	0	0	0	0	0	0	
@0B3F [2879]	0	928	832	0	9F71	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B40 [2880]	0	1216	608	0	9F75	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B41 [2881]	0	912	552	0	9F81	0002	2	5	470	4	0	0	0	0	0	0	
@0B42 [2882]	0	816	440	0	9F77	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B43 [2883]	0	1104	424	0	9F87	0005	2	5	464	0	0	0	0	0	0	0	
@0B44 [2884]	0	672	576	0	9F7D	0005	2	5	11	0	0	0	0	0	0	0	
@0B45 [2885]	0	464	520	0	9EBF	9CAD	2	5	11	0	0	0	0	0	0	0	
@0B46 [2886]	0	1504	1008	0	9F7D	9CAD	2	5	11	0	0	0	0	0	0	0	
@0B47 [2887]	0	1712	1096	0	9F83	0002	2	5	464	0	0	0	0	0	0	0	
@0B48 [2888]	0	1024	1584	0	9F73	0002	2	5	470	4	0	0	0	0	0	0	
@0B49 [2889]	0	368	1000	0	9F7F	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B4A [2890]	0	1520	920	0	9F87	0002	2	5	470	4	0	0	0	0	0	0	
@0B4B [2891]	0	1168	408	0	073B	0000	2	1	10	0	0	0	0	0	0	0	
@0B4C [2892]	0	1344	480	0	0753	0000	2	1	10	0	0	0	0	0	0	0	
@0B4D [2893]	0	624	1528	0	07A1	0000	2	1	10	0	0	0	0	0	0	0	
@0B4E [2894]	0	1312	464	0	074D	0000	2	1	10	0	0	0	0	0	0	0	
@0B4F [2895]	0	336	616	0	0741	0000	2	1	10	0	0	0	0	0	0	0	
@0B50 [2896]	0	1184	864	0	072F	0000	2	1	10	0	0	0	0	0	0	0	
@0B51 [2897]	0	400	648	0	07BF	0000	2	1	10	0	0	0	0	0	0	0	
@0B52 [2898]	0	1056	1376	0	079B	0000	2	1	10	0	0	0	0	0	0	0	
@0B53 [2899]	0	1024	1568	0	0753	0000	2	1	10	0	0	0	0	0	0	0	
@0B54 [2900]	0	1104	1608	0	0735	0000	2	1	10	0	0	0	0	0	0	0	
@0B55 [2901]	0	1760	1088	0	0729	0000	2	1	10	0	0	0	0	0	0	0	
@0B56 [2902]	0	464	936	0	07D7	0000	2	1	10	0	0	0	0	0	0	0	
@0B57 [2903]	0	1120	912	0	0729	0000	2	1	10	0	0	0	0	0	0	0	
