场景号	地图号	进入脚本	传送脚本
#00A7 [167]	148	68AC	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0B58 [2904]	0	688	520	0	68CE	0000	1	5	0	0	0	0	0	0	0	0	
@0B59 [2905]	0	864	336	0	9EC3	9CAD	2	5	11	0	0	0	0	0	0	0	
@0B5A [2906]	0	608	304	0	9F8F	9CB3	2	5	621	3	0	0	0	0	0	0	
@0B5B [2907]	0	992	416	0	9F93	9CCC	2	5	621	3	0	0	0	0	0	0	
@0B5C [2908]	0	1264	408	0	9F85	0005	2	5	470	4	0	0	0	0	0	0	
@0B5D [2909]	0	1536	608	0	9EC5	0002	2	5	470	4	0	0	0	0	0	0	
@0B5E [2910]	0	1696	704	0	9EA9	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B5F [2911]	0	1664	880	0	9F7F	9CAD	2	5	11	0	0	0	0	0	0	0	
@0B60 [2912]	0	1696	992	0	9EDF	9CB3	2	5	621	3	0	0	0	0	0	0	
@0B61 [2913]	0	1552	776	0	9F89	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B62 [2914]	0	1216	544	0	9EB3	9CAD	2	5	11	0	0	0	0	0	0	0	
@0B63 [2915]	0	1184	784	0	9F8D	0005	2	5	470	4	0	0	0	0	0	0	
@0B64 [2916]	0	1040	664	0	9F87	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B65 [2917]	0	624	728	0	9F69	0005	2	5	460	0	0	0	0	0	0	0	
@0B66 [2918]	0	800	720	0	9F8D	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B67 [2919]	0	1280	928	0	9F7F	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B68 [2920]	0	1248	1104	0	9EDF	9CB3	2	5	621	3	0	0	0	0	0	0	
@0B69 [2921]	0	1024	992	0	9F89	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B6A [2922]	0	656	888	0	9F87	0005	2	5	470	4	0	0	0	0	0	0	
@0B6B [2923]	0	976	904	0	9EC5	0005	2	5	11	0	0	0	0	0	0	0	
@0B6C [2924]	0	864	1040	0	9EBD	9CAD	2	5	11	0	0	0	0	0	0	0	
@0B6D [2925]	0	736	912	0	9F93	9CB3	2	5	621	3	0	0	0	0	0	0	
@0B6E [2926]	0	832	1264	0	9F6B	9CB3	2	5	495	3	0	0	0	0	0	0	
@0B6F [2927]	0	688	1048	0	9F87	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B70 [2928]	0	496	1160	0	9F6B	9CB3	2	5	495	3	0	0	0	0	0	0	
@0B71 [2929]	0	416	1312	0	9F89	0002	2	5	470	4	0	0	0	0	0	0	
@0B72 [2930]	0	720	1416	0	9F87	0000	2	5	470	4	0	0	0	0	0	0	
@0B73 [2931]	0	480	1472	0	9F83	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B74 [2932]	0	320	1216	0	9F69	9CAD	2	5	460	0	0	0	0	0	0	0	
@0B75 [2933]	0	368	952	0	9EE1	9CB3	2	5	621	3	0	0	0	0	0	0	
@0B76 [2934]	0	496	904	0	9EBF	9CB9	2	5	11	0	0	0	0	0	0	0	
@0B77 [2935]	0	432	792	0	9F6B	9CB3	2	5	495	3	0	0	0	0	0	0	
@0B78 [2936]	0	368	664	0	9EB3	9CAD	2	5	11	0	0	0	0	0	0	0	
@0B79 [2937]	0	496	568	0	9F8D	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B7A [2938]	0	768	1584	0	9F6B	0002	2	5	495	3	0	0	0	0	0	0	
@0B7B [2939]	0	1008	1432	0	9F6B	9CB3	2	5	495	3	0	0	0	0	0	0	
@0B7C [2940]	0	1408	1392	0	9F89	0002	2	5	470	4	0	0	0	0	0	0	
@0B7D [2941]	0	1184	1552	0	9F8D	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B7E [2942]	0	864	1648	0	9F6B	0000	2	5	495	3	0	0	0	0	0	0	
@0B7F [2943]	0	1104	1688	0	9F91	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B80 [2944]	0	1152	1312	0	9F69	0002	2	5	460	0	0	0	0	0	0	0	
@0B81 [2945]	0	1568	1296	0	9ED1	0002	2	5	470	4	0	0	0	0	0	0	
@0B82 [2946]	0	1680	1192	0	9F7D	9CB9	2	5	470	4	0	0	0	0	0	0	
@0B83 [2947]	0	1264	552	0	07CB	0000	2	1	10	0	0	0	0	0	0	0	
@0B84 [2948]	0	912	312	0	0849	0000	2	1	10	0	0	0	0	0	0	0	
@0B85 [2949]	0	1584	968	0	07F5	0000	2	1	10	0	0	0	0	0	0	0	
@0B86 [2950]	0	1168	1208	0	0657	0000	2	1	10	0	0	0	0	0	0	0	
@0B87 [2951]	0	1040	888	0	081F	0000	2	1	10	0	0	0	0	0	0	0	
@0B88 [2952]	0	1760	1168	0	06F9	0000	2	1	10	0	0	0	0	0	0	0	
@0B89 [2953]	0	912	1720	0	0753	0000	2	1	10	0	0	0	0	0	0	0	
@0B8A [2954]	0	320	624	0	07B9	0000	2	1	10	0	0	0	0	0	0	0	
