场景号	地图号	进入脚本	传送脚本
$00A8 [168]	148	68AC	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0B8B [2955]	0	1264	696	0	6980	0000	1	5	0	0	0	0	0	0	0	0
#0B8C [2956]	0	592	680	0	9F8B	9CB3	2	5	495	3	0	0	0	0	0	0
#0B8D [2957]	0	672	848	0	A06D	0005	2	5	11	0	0	0	0	0	0	0
#0B8E [2958]	0	784	696	0	9F97	9CAD	2	5	11	0	0	0	0	0	0	0
#0B8F [2959]	0	576	992	0	A06F	9CC9	2	5	59	3	0	0	0	0	0	0
#0B90 [2960]	0	832	1152	0	9F8D	9CB9	2	5	470	4	0	0	0	0	0	0
#0B91 [2961]	0	1072	1048	10	9F69	9CA4	2	5	460	0	0	0	0	0	0	0
#0B92 [2962]	0	800	1056	0	A06F	9CC9	2	5	59	3	0	0	0	0	0	0
#0B93 [2963]	0	1328	1016	0	9F8B	9CB3	2	5	495	3	0	0	0	0	0	0
#0B94 [2964]	0	1296	920	0	A06D	9CAD	2	5	11	0	0	0	0	0	0	0
#0B95 [2965]	0	1440	800	0	9F8B	9CB3	2	5	495	3	0	0	0	0	0	0
#0B96 [2966]	0	1632	752	0	9F97	9CAD	2	5	11	0	0	0	0	0	0	0
#0B97 [2967]	0	944	952	0	9F87	9CB9	2	5	470	4	0	0	0	0	0	0
#0B98 [2968]	0	816	856	0	A06F	9CC9	2	5	59	3	0	0	0	0	0	0
#0B99 [2969]	0	1056	944	0	9F85	9CB3	2	5	495	3	0	0	0	0	0	0
#0B9A [2970]	0	1056	768	0	9F97	9CAD	2	5	11	0	0	0	0	0	0	0
#0B9B [2971]	0	960	576	0	9F6D	9CB3	2	5	495	3	0	0	0	0	0	0
#0B9C [2972]	0	1216	464	0	A06F	0000	2	5	59	3	0	0	0	0	0	0
#0B9D [2973]	0	1472	528	0	A06D	9CAD	2	5	11	0	0	0	0	0	0	0
#0B9E [2974]	0	1344	560	10	9F69	9CA4	2	5	460	0	0	0	0	0	0	0
#0B9F [2975]	0	1344	736	0	9F8B	9CB3	2	5	495	3	0	0	0	0	0	0
#0BA0 [2976]	0	752	584	0	052B	0000	2	1	10	0	0	2	0	0	0	0
#0BA1 [2977]	0	1808	696	0	07A7	0000	2	1	10	0	0	0	0	0	0	0
#0BA2 [2978]	0	1408	576	0	07D1	0000	2	1	10	0	0	0	0	0	0	0
#0BA3 [2979]	0	352	912	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BA4 [2980]	0	544	864	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BA5 [2981]	0	704	960	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BA6 [2982]	0	720	776	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BA7 [2983]	0	864	624	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BA8 [2984]	0	1024	720	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BA9 [2985]	0	1024	864	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BAA [2986]	0	832	992	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BAB [2987]	0	800	912	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BAC [2988]	0	1120	1136	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BAD [2989]	0	1056	1120	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BAE [2990]	0	1568	912	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BAF [2991]	0	1408	880	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BB0 [2992]	0	1520	824	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BB1 [2993]	0	1504	720	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BB2 [2994]	0	1408	624	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BB3 [2995]	0	1616	632	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BB4 [2996]	0	1664	448	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BB5 [2997]	0	1424	488	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BB6 [2998]	0	1184	448	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BB7 [2999]	0	1056	432	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BB8 [3000]	0	912	472	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BB9 [3001]	0	1232	760	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BBA [3002]	0	1376	800	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
#0BBB [3003]	0	1472	752	-5	0000	03B2	1	0	490	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
