场景号	地图号	进入脚本	传送脚本
$0011 [017]	6	254A	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#00EB [235]	0	512	1184	0	2104	0000	1	5	0	0	0	0	0	0	0	0
#00EC [236]	0	1824	672	0	219D	0000	1	1	0	0	0	0	0	0	0	0
#00ED [237]	0	784	216	0	23E9	0000	2	2	0	0	0	0	0	0	0	0
#00EE [238]	0	432	488	0	24D9	0000	2	0	66	0	0	3	0	0	0	0
#00EF [239]	0	496	232	0	24D9	0000	2	0	66	0	0	3	0	0	0	0
#00F0 [240]	0	1472	272	0	24D9	0000	2	0	66	0	0	0	0	0	0	0
#00F1 [241]	0	1776	824	0	24D9	0000	2	0	66	0	0	0	0	0	0	0
#00F2 [242]	0	576	976	0	24D9	0000	2	0	66	0	0	2	0	0	0	0
#00F3 [243]	0	1472	1280	0	24D9	0000	2	0	66	0	0	1	0	0	0	0
#00F4 [244]	0	944	888	0	2110	0002	1	4	84	0	0	0	0	0	0	0
#00F5 [245]	0	864	832	0	2117	0002	1	4	84	0	0	0	0	0	0	0
#00F6 [246]	0	1088	960	0	2120	0002	1	4	84	0	0	0	0	0	0	0
#00F7 [247]	0	1536	784	0	2129	0002	1	4	84	0	0	0	0	0	0	0
#00F8 [248]	0	1632	800	0	2130	0002	1	4	84	0	0	0	0	0	0	0
#00F9 [249]	0	1120	880	0	2137	0002	1	4	84	0	0	0	0	0	0	0
#00FA [250]	0	672	544	0	213E	0002	1	4	84	0	0	0	0	0	0	0
#00FB [251]	0	1296	824	0	2147	0002	1	4	84	0	0	0	0	0	0	0
#00FC [252]	0	1440	1056	0	2152	0002	1	4	84	0	0	0	0	0	0	0
#00FD [253]	0	1424	1000	0	2159	0002	1	4	84	0	0	0	0	0	0	0
#00FE [254]	0	1184	880	0	2160	0002	1	4	84	0	0	0	0	0	0	0
#00FF [255]	0	1248	880	0	2167	0002	1	4	84	0	0	0	0	0	0	0
#0100 [256]	0	1232	776	0	2170	0002	1	4	84	0	0	0	0	0	0	0
#0101 [257]	0	1344	560	0	2179	0002	1	4	84	0	0	0	0	0	0	0
#0102 [258]	0	1088	736	0	2180	0002	1	4	84	0	0	0	0	0	0	0
#0103 [259]	0	1136	600	0	2189	0002	1	4	84	0	0	0	0	0	0	0
#0104 [260]	0	1296	584	0	2190	0002	1	4	84	0	0	0	0	0	0	0
#0105 [261]	0	1280	560	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0106 [262]	0	1296	584	0	0000	0000	0	0	0	0	0	0	0	0	0	0
#0107 [263]	0	1024	912	-3	21B4	255B	0	4	233	0	0	0	0	0	0	0
#0108 [264]	0	1408	432	0	2568	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
