场景号	地图号	进入脚本	传送脚本
$00AD [173]	202	7F95	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0BC3 [3011]	0	656	648	0	7D82	0000	1	5	0	0	0	0	0	0	0	0
#0BC4 [3012]	0	672	528	0	0000	0000	1	0	523	0	0	1	0	0	0	0
#0BC5 [3013]	0	656	536	0	0000	0000	1	0	523	0	0	1	0	0	0	0
#0BC6 [3014]	0	624	456	0	805E	0000	1	2	364	0	0	0	0	0	0	0
#0BC7 [3015]	0	736	544	0	0000	7F71	1	0	2	3	0	0	0	0	0	0
#0BC8 [3016]	0	720	520	0	0000	0000	1	0	608	0	0	0	0	0	0	0
#0BC9 [3017]	0	720	520	0	0000	7F7F	0	0	5	3	3	0	0	0	0	0
#0BCA [3018]	0	592	472	0	8055	7F88	0	2	552	3	1	0	0	0	0	0
#0BCB [3019]	0	656	520	0	8038	7F7A	0	2	609	3	3	0	0	0	0	0
#0BCC [3020]	0	0	0	0	0000	80B7	0	0	0	0	0	0	0	0	0	0
#0BCD [3021]	0	928	480	0	7EA4	0000	1	2	515	0	0	0	0	0	0	0
#0BCE [3022]	0	592	440	3	8100	0000	0	2	551	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
