场景号	地图号	进入脚本	传送脚本
#00AE [174]	158	79D6	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0BCF [3023]	0	656	648	0	7D82	0000	1	5	0	0	0	0	0	0	0	0	
@0BD0 [3024]	0	512	512	2	7EA4	0000	1	2	515	0	0	0	0	0	0	0	
@0BD1 [3025]	0	944	488	0	7EA4	0000	0	2	515	0	0	0	0	0	0	0	
@0BD2 [3026]	0	928	480	0	0000	0000	1	0	539	0	0	0	0	0	0	0	
@0BD3 [3027]	0	624	456	0	7EA7	0000	1	2	364	0	0	0	0	0	0	0	
@0BD4 [3028]	0	880	488	0	0000	0000	2	0	609	3	2	0	0	0	0	0	
@0BD5 [3029]	0	720	552	0	0000	7DAA	0	0	609	3	1	0	0	0	0	0	
@0BD6 [3030]	0	784	584	0	7F00	0000	0	2	609	3	0	0	0	0	0	0	
@0BD7 [3031]	0	704	624	0	0000	0000	0	0	397	1	2	0	0	0	0	0	
@0BD8 [3032]	0	736	624	0	0000	0000	0	0	399	1	2	0	0	0	0	0	
@0BD9 [3033]	0	608	432	0	80FB	0002	0	3	551	0	0	0	0	0	0	0	
@0BDA [3034]	0	608	576	0	7F1E	0000	1	1	0	0	0	0	0	0	0	0	
@0BDB [3035]	0	624	568	0	7F1E	0000	1	1	0	0	0	0	0	0	0	0	
@0BDC [3036]	0	816	520	0	7F23	0000	1	1	0	0	0	0	0	0	0	0	
@0BDD [3037]	0	848	440	0	7F28	0000	1	1	0	0	0	0	0	0	0	0	
@0BDE [3038]	0	672	400	0	7F2D	0000	1	1	0	0	0	0	0	0	0	0	
@0BDF [3039]	0	704	608	0	0000	0000	0	0	400	1	2	0	0	0	0	0	
@0BE0 [3040]	0	496	488	0	7F37	0000	1	1	0	0	0	0	0	0	0	0	
@0BE1 [3041]	0	800	528	0	7F3B	0000	1	1	0	0	0	0	0	0	0	0	
