场景号	地图号	进入脚本	传送脚本
#00AF [175]	201	8103	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0BE2 [3042]	0	576	1472	0	735D	0000	1	5	0	0	0	0	0	0	0	0	
@0BE3 [3043]	0	960	1200	0	7365	0000	1	5	0	0	0	0	0	0	0	0	
@0BE4 [3044]	0	1056	1536	0	736D	0000	1	5	0	0	0	0	0	0	0	0	
@0BE5 [3045]	0	768	1040	0	7375	0000	1	5	0	0	0	0	0	0	0	0	
@0BE6 [3046]	0	1344	1392	0	737D	0000	1	5	0	0	0	0	0	0	0	0	
@0BE7 [3047]	0	1472	1696	0	7345	0000	1	5	0	0	0	0	0	0	0	0	
@0BE8 [3048]	0	208	1576	0	7349	0000	1	6	0	0	0	0	0	0	0	0	
@0BE9 [3049]	0	1344	1408	0	0000	0000	0	0	523	0	0	1	0	0	0	0	
@0BEA [3050]	0	1360	1400	0	0000	0000	0	0	523	0	0	1	0	0	0	0	
@0BEB [3051]	0	1344	1584	0	79DE	0000	2	7	143	3	1	0	0	0	0	0	
@0BEC [3052]	0	1088	1552	0	79FF	0000	2	7	141	3	0	0	0	0	0	0	
@0BED [3053]	0	1072	1560	0	79FF	0000	2	7	152	3	2	0	0	0	0	0	
@0BEE [3054]	0	656	1592	0	7A15	0000	2	8	355	3	3	0	0	0	0	0	
@0BEF [3055]	0	1056	1552	0	0000	0000	0	0	523	0	0	1	0	0	0	0	
@0BF0 [3056]	0	1072	1544	0	0000	0000	0	0	523	0	0	1	0	0	0	0	
@0BF1 [3057]	0	560	1480	0	0000	0000	0	0	523	0	0	0	0	0	0	0	
@0BF2 [3058]	0	576	1488	0	0000	0000	0	0	523	0	0	0	0	0	0	0	
@0BF3 [3059]	0	960	1216	0	0000	0000	2	0	523	0	0	1	0	0	0	0	
@0BF4 [3060]	0	976	1208	0	0000	0000	2	0	523	0	0	1	0	0	0	0	
@0BF5 [3061]	0	768	1056	0	0000	0000	2	0	523	0	0	1	0	0	0	0	
@0BF6 [3062]	0	784	1048	0	0000	0000	2	0	523	0	0	1	0	0	0	0	
@0BF7 [3063]	0	416	1728	0	7A21	0000	2	6	22	3	1	0	0	0	0	0	
@0BF8 [3064]	0	640	1792	0	7B01	7AF3	0	2	143	3	1	0	0	0	0	0	
@0BF9 [3065]	0	528	1560	0	7B09	7AF6	0	2	141	3	0	0	0	0	0	0	
@0BFA [3066]	0	640	1552	0	7B0D	7AF9	0	2	355	3	3	0	0	0	0	0	
@0BFB [3067]	0	672	1600	0	7B11	7AFD	0	2	116	3	0	0	0	0	0	0	
@0BFC [3068]	0	640	1760	0	7B19	7AFF	0	2	0	3	1	0	0	0	0	0	
@0BFD [3069]	0	1104	1288	0	16B4	0000	0	2	358	3	1	0	0	0	0	0	
