场景号	地图号	进入脚本	传送脚本
$00B0 [176]	201	8103	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0BFE [3070]	0	320	912	0	7D6E	0000	1	5	0	0	0	0	0	0	0	0
#0BFF [3071]	0	1472	688	0	7D86	0000	1	5	0	0	0	0	0	0	0	0
#0C00 [3072]	0	1600	720	0	7F40	0000	1	1	0	0	0	0	0	0	0	0
#0C01 [3073]	0	1680	856	0	7F45	0000	1	1	0	0	0	0	0	0	0	0
#0C02 [3074]	0	1600	784	0	7F4A	0000	1	1	0	0	0	0	0	0	0	0
#0C03 [3075]	0	1648	792	0	7F4F	0000	1	1	0	0	0	0	0	0	0	0
#0C04 [3076]	0	1712	824	0	7F54	0000	1	1	0	0	0	0	0	0	0	0
#0C05 [3077]	0	1376	912	0	7F58	0000	1	1	0	0	0	0	0	0	0	0
#0C06 [3078]	0	1472	912	0	7F5D	0000	1	1	0	0	0	0	0	0	0	0
#0C07 [3079]	0	1040	584	0	0A07	0000	2	1	70	0	0	0	0	0	0	0
#0C08 [3080]	0	928	592	0	0A07	0000	2	1	70	0	0	0	0	0	0	0
#0C09 [3081]	0	1072	616	0	0A07	0000	2	1	70	0	0	0	0	0	0	0
#0C0A [3082]	0	784	584	0	7F62	0000	2	1	69	0	0	0	0	0	0	0
#0C0B [3083]	0	624	760	0	7F67	0000	2	1	68	0	0	0	0	0	0	0
#0C0C [3084]	0	240	1288	0	7F6C	0000	2	1	70	0	0	0	0	0	0	0
#0C0D [3085]	0	0	0	0	0000	0BEC	1	0	0	0	0	0	0	0	0	0
#0C0E [3086]	0	1776	872	0	76B1	0000	2	1	519	0	0	0	0	0	0	0
#0C0F [3087]	0	304	1000	-9	0000	0067	1	0	1	4	0	0	0	0	0	0
#0C10 [3088]	0	288	976	-7	0000	00B1	1	0	52	4	0	0	0	0	0	0
#0C11 [3089]	0	560	696	-9	0000	0067	1	0	1	4	0	0	0	0	0	0
#0C12 [3090]	0	480	752	-7	0000	00B1	1	0	52	4	0	0	0	0	0	0
#0C13 [3091]	0	656	552	-9	0000	0067	1	0	1	4	0	0	0	0	0	0
#0C14 [3092]	0	608	608	-7	0000	00B1	1	0	52	4	0	0	0	0	0	0
#0C15 [3093]	0	304	1192	-7	0000	00B1	1	0	52	4	0	0	0	0	0	0
#0C16 [3094]	0	272	1160	-7	0000	00B1	1	0	52	4	0	0	0	0	0	0
#0C17 [3095]	0	208	1096	-9	0000	0067	1	0	1	4	0	0	0	0	0	0
#0C18 [3096]	0	144	1240	-7	0000	00B1	1	0	52	4	0	0	0	0	0	0
#0C19 [3097]	0	80	1304	-9	0000	0067	1	0	1	4	0	0	0	0	0	0
#0C1A [3098]	0	320	848	-7	0000	00B1	1	0	52	4	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
