场景号	地图号	进入脚本	传送脚本
$00B3 [179]	149	0000	7D72	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0C1F [3103]	0	1280	704	0	7680	0000	1	5	0	0	0	0	0	0	0	0
#0C20 [3104]	0	1280	640	0	7686	0000	1	5	0	0	0	0	0	0	0	0
#0C21 [3105]	0	880	632	0	768C	0000	1	5	0	0	0	0	0	0	0	0
#0C22 [3106]	0	880	1016	0	7692	0000	1	5	0	0	0	0	0	0	0	0
#0C23 [3107]	0	1696	1424	0	7698	0000	1	5	0	0	0	0	0	0	0	0
#0C24 [3108]	0	1824	1072	0	7D76	0000	1	5	0	0	0	0	0	0	0	0
#0C25 [3109]	0	1536	736	0	0000	0000	2	0	592	0	0	0	0	0	0	0
#0C26 [3110]	0	0	0	0	0000	0BEC	1	0	0	0	0	0	0	0	0	0
#0C27 [3111]	0	1584	744	0	04CB	0000	2	1	389	0	0	0	0	0	0	0
#0C28 [3112]	0	1488	872	0	09EB	0000	2	1	68	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
