场景号	地图号	进入脚本	传送脚本
$00B4 [180]	157	7CC9	738D	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0C29 [3113]	0	1728	1728	0	738D	0000	1	5	0	0	0	0	0	0	0	0
#0C2A [3114]	0	912	488	0	733D	0000	1	5	0	0	0	0	0	0	0	0
#0C2B [3115]	0	1424	1416	0	9FBF	9CC9	2	5	60	0	0	0	0	0	0	0
#0C2C [3116]	0	912	1240	0	9FCD	9CC9	2	5	60	0	0	0	0	0	0	0
#0C2D [3117]	0	976	1448	0	9FB9	9CC9	2	5	60	0	0	0	0	0	0	0
#0C2E [3118]	0	560	1288	0	9FD1	9CC2	2	5	462	0	0	0	0	0	0	0
#0C2F [3119]	0	224	1520	0	9CE4	9CA4	1	5	473	1	0	0	0	0	0	0
#0C30 [3120]	0	1712	824	0	9FC1	9CC9	2	5	60	0	0	0	0	0	0	0
#0C31 [3121]	0	736	864	0	9FCB	9CC2	2	5	462	0	0	0	0	0	0	0
#0C32 [3122]	0	992	576	0	9FBD	9CC9	2	5	60	0	0	0	0	0	0	0
#0C33 [3123]	0	384	1136	0	9FD3	9CAA	1	5	11	0	0	0	0	0	0	0
#0C34 [3124]	0	1824	592	0	7D5E	0000	1	5	0	0	0	0	0	0	0	0
#0C35 [3125]	0	176	1304	0	7D66	0000	1	5	0	0	0	0	0	0	0	0
#0C36 [3126]	0	480	1312	0	09E4	0000	1	1	0	0	0	0	0	0	0	0
#0C37 [3127]	0	480	1696	0	0915	0000	2	1	10	0	0	0	0	0	0	0
#0C38 [3128]	0	1632	1040	0	09AC	0000	1	1	0	0	0	0	0	0	0	0
#0C39 [3129]	0	1632	688	0	09AC	0000	1	1	0	0	0	0	0	0	0	0
#0C3A [3130]	0	704	832	0	07D7	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
