场景号	地图号	进入脚本	传送脚本
#00B6 [182]	158	7CD6	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0C41 [3137]	0	1472	1696	0	7345	0000	1	5	0	0	0	0	0	0	0	0	
@0C42 [3138]	0	1024	1296	0	0000	0000	1	0	5	3	1	0	0	0	0	0	
@0C43 [3139]	0	992	1264	0	0000	0000	2	0	540	0	0	0	0	0	0	0	
@0C44 [3140]	0	960	1248	0	0000	0000	2	0	540	0	0	0	0	0	0	0	
@0C45 [3141]	0	944	1256	0	0000	0000	2	0	540	0	0	0	0	0	0	0	
@0C46 [3142]	0	1040	1240	0	0000	0000	2	0	540	0	0	0	0	0	0	0	
@0C47 [3143]	0	1056	1248	0	0000	0000	2	0	540	0	0	0	0	0	0	0	
@0C48 [3144]	0	1088	1248	0	0000	0000	2	0	540	0	0	0	0	0	0	0	
@0C49 [3145]	0	896	1280	0	0000	0000	2	0	540	0	0	0	0	0	0	0	
@0C4A [3146]	0	880	1320	0	0000	0000	2	0	540	0	0	0	0	0	0	0	
