场景号	地图号	进入脚本	传送脚本
$00B7 [183]	158	7CD6	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0C4B [3147]	0	1008	1304	0	0000	0000	1	0	5	3	1	0	0	0	0	0
#0C4C [3148]	0	992	1264	0	0000	0000	1	0	596	1	3	0	0	0	0	0
#0C4D [3149]	0	960	1248	0	0000	0000	1	0	22	3	3	0	0	0	0	0
#0C4E [3150]	0	944	1256	0	0000	0000	1	0	83	3	3	0	0	0	0	0
#0C4F [3151]	0	1040	1240	0	0000	0000	1	0	355	3	0	0	0	0	0	0
#0C50 [3152]	0	1056	1248	0	0000	0000	1	0	152	3	0	0	0	0	0	0
#0C51 [3153]	0	1088	1248	0	0000	0000	1	0	144	1	0	0	0	0	0	0
#0C52 [3154]	0	896	1280	0	0000	0000	1	0	117	1	3	0	0	0	0	0
#0C53 [3155]	0	880	1320	0	0000	0000	1	0	142	1	2	0	0	0	0	0
#0C54 [3156]	0	992	1264	0	0000	0000	0	0	540	0	0	0	0	0	0	0
#0C55 [3157]	0	960	1248	0	0000	0000	0	0	540	0	0	0	0	0	0	0
#0C56 [3158]	0	944	1256	0	0000	0000	0	0	540	0	0	0	0	0	0	0
#0C57 [3159]	0	1040	1240	0	0000	0000	0	0	540	0	0	0	0	0	0	0
#0C58 [3160]	0	1056	1248	0	0000	0000	0	0	540	0	0	0	0	0	0	0
#0C59 [3161]	0	1088	1248	0	0000	0000	0	0	540	0	0	0	0	0	0	0
#0C5A [3162]	0	896	1280	0	0000	0000	0	0	540	0	0	0	0	0	0	0
#0C5B [3163]	0	880	1320	0	0000	0000	0	0	540	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
