场景号	地图号	进入脚本	传送脚本
#00B8 [184]	152	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0C5C [3164]	0	336	1400	0	7331	0000	1	5	0	0	0	0	0	0	0	0	
@0C5D [3165]	0	272	648	0	7335	0000	1	5	0	0	0	0	0	0	0	0	
@0C5E [3166]	0	768	1024	0	0377	0000	2	1	389	0	0	0	0	0	0	0	
@0C5F [3167]	0	736	1200	0	7945	0000	1	4	0	0	0	0	0	0	0	0	
@0C60 [3168]	0	496	1864	0	9FB9	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C61 [3169]	0	560	1864	0	9FD7	9CAA	2	5	466	0	0	0	0	0	0	0	
@0C62 [3170]	0	640	1824	0	9FBB	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C63 [3171]	0	848	1752	0	9FBD	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C64 [3172]	0	960	1728	0	9FD5	9CAA	2	5	466	0	0	0	0	0	0	0	
@0C65 [3173]	0	1328	1608	0	9FBF	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C66 [3174]	0	1216	1392	0	9FD9	9CAA	2	5	466	0	0	0	0	0	0	0	
@0C67 [3175]	0	960	1424	0	9FC3	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C68 [3176]	0	1216	1232	0	9FBD	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C69 [3177]	0	1136	1208	0	9FD9	9CAA	2	5	466	0	0	0	0	0	0	0	
@0C6A [3178]	0	1760	1424	0	9FC3	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C6B [3179]	0	1504	1328	0	9FC5	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C6C [3180]	0	1328	1288	0	9FD9	9CAA	2	5	466	0	0	0	0	0	0	0	
@0C6D [3181]	0	1328	1064	0	9FC7	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C6E [3182]	0	1440	832	0	9FC1	9CAA	2	5	466	0	0	0	0	0	0	0	
@0C6F [3183]	0	752	856	0	9FB9	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C70 [3184]	0	544	752	0	9FBF	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C71 [3185]	0	736	672	0	9FBB	9CC9	2	5	60	0	0	0	0	0	0	0	
@0C72 [3186]	0	992	192	0	090F	0000	2	1	10	0	0	0	0	0	0	0	
@0C73 [3187]	0	1056	224	0	07F5	0000	2	1	10	0	0	0	0	0	0	0	
@0C74 [3188]	0	1168	824	0	0795	0000	2	1	10	0	0	0	0	0	0	0	
@0C75 [3189]	0	1088	704	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
@0C76 [3190]	0	1296	1352	0	07FB	0000	2	1	10	0	0	0	0	0	0	0	
@0C77 [3191]	0	800	1648	0	0849	0000	2	1	10	0	0	0	0	0	0	0	
@0C78 [3192]	0	720	1672	0	0825	0000	2	1	10	0	0	0	0	0	0	0	
@0C79 [3193]	0	448	1888	0	0831	0000	2	1	10	0	0	0	0	0	0	0	
@0C7A [3194]	0	688	984	0	07E9	0000	2	1	10	0	0	0	0	0	0	0	
@0C7B [3195]	0	720	1000	0	0579	0000	2	1	10	0	0	2	0	0	0	0	
@0C7C [3196]	0	816	1048	0	06FF	0000	2	1	10	0	0	0	0	0	0	0	
@0C7D [3197]	0	848	1064	0	05CD	0000	2	1	10	0	0	0	0	0	0	0	
@0C7E [3198]	0	656	1000	0	0525	0000	2	1	10	0	0	0	0	0	0	0	
@0C7F [3199]	0	624	1016	0	04C5	0000	2	1	10	0	0	2	0	0	0	0	
@0C80 [3200]	0	592	1032	0	04C5	0000	2	1	10	0	0	2	0	0	0	0	
@0C81 [3201]	0	560	1048	0	06E1	0000	2	1	10	0	0	0	0	0	0	0	
