场景号	地图号	进入脚本	传送脚本
#00B9 [185]	150	7D54	7D72	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0C82 [3202]	0	960	1376	0	7540	0000	1	5	0	0	0	0	0	0	0	0	
@0C83 [3203]	0	784	1320	0	73C5	0000	1	5	0	0	0	0	0	0	0	0	
@0C84 [3204]	0	784	1048	0	73CB	0000	1	5	0	0	0	0	0	0	0	0	
@0C85 [3205]	0	976	1096	0	73D1	0000	1	5	0	0	0	0	0	0	0	0	
@0C86 [3206]	0	992	944	0	73D7	0000	1	5	0	0	0	0	0	0	0	0	
@0C87 [3207]	0	784	936	0	73DD	0000	1	5	0	0	0	0	0	0	0	0	
@0C88 [3208]	0	752	1016	0	73E3	0000	1	5	0	0	0	0	0	0	0	0	
@0C89 [3209]	0	400	856	0	73E9	0000	1	5	0	0	0	0	0	0	0	0	
@0C8A [3210]	0	416	816	0	73EF	0000	1	5	0	0	0	0	0	0	0	0	
@0C8B [3211]	0	784	632	0	73F4	0000	1	5	0	0	0	0	0	0	0	0	
@0C8C [3212]	0	784	520	0	73FA	0000	1	5	0	0	0	0	0	0	0	0	
@0C8D [3213]	0	1008	696	0	7400	0000	1	5	0	0	0	0	0	0	0	0	
@0C8E [3214]	0	992	736	0	7404	0000	1	5	0	0	0	0	0	0	0	0	
@0C8F [3215]	0	992	800	0	740A	0000	1	5	0	0	0	0	0	0	0	0	
@0C90 [3216]	0	992	1024	0	7410	0000	1	5	0	0	0	0	0	0	0	0	
@0C91 [3217]	0	1312	800	0	7416	0000	1	5	0	0	0	0	0	0	0	0	
@0C92 [3218]	0	1184	1008	0	741F	0000	1	5	0	0	0	0	0	0	0	0	
@0C93 [3219]	0	1488	872	0	7427	0000	1	5	0	0	0	0	0	0	0	0	
@0C94 [3220]	0	1520	520	0	742E	0000	1	5	0	0	0	0	0	0	0	0	
@0C95 [3221]	0	1312	560	0	7434	0000	1	5	0	0	0	0	0	0	0	0	
@0C96 [3222]	0	1312	416	0	743A	0000	1	5	0	0	0	0	0	0	0	0	
@0C97 [3223]	0	1488	488	0	7440	0000	1	5	0	0	0	0	0	0	0	0	
@0C98 [3224]	0	1520	392	0	7448	0000	1	5	0	0	0	0	0	0	0	0	
@0C99 [3225]	0	1792	384	0	744F	0000	1	5	0	0	0	0	0	0	0	0	
@0C9A [3226]	0	1792	672	0	7455	0000	1	5	0	0	0	0	0	0	0	0	
@0C9B [3227]	0	1520	680	0	745B	0000	1	5	0	0	0	0	0	0	0	0	
@0C9C [3228]	0	1520	856	0	7461	0000	1	5	0	0	0	0	0	0	0	0	
@0C9D [3229]	0	1760	864	0	7467	0000	1	5	0	0	0	0	0	0	0	0	
