场景号	地图号	进入脚本	传送脚本
$00BA [186]	150	7D54	7D72	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0CE0 [3296]	0	1856	1184	0	7D72	0000	1	5	0	0	0	0	0	0	0	0
#0CE1 [3297]	0	1824	1008	0	769D	0000	1	5	0	0	0	0	0	0	0	0
#0CE2 [3298]	0	624	1128	0	76A2	0000	1	5	0	0	0	0	0	0	0	0
#0CE3 [3299]	0	1168	1080	0	7381	0000	1	5	0	0	0	0	0	0	0	0
#0CE4 [3300]	0	224	1376	0	7325	0000	1	5	0	0	0	0	0	0	0	0
#0CE5 [3301]	0	1376	1136	0	76AC	0000	1	1	0	0	0	0	0	0	0	0
#0CE6 [3302]	0	1376	1216	0	76AC	0000	1	1	0	0	0	0	0	0	0	0
#0CE7 [3303]	0	0	0	0	0000	0BEC	1	0	0	0	0	0	0	0	0	0
#0CE8 [3304]	0	768	1344	-9	0000	0067	1	0	1	4	0	0	0	0	0	0
#0CE9 [3305]	0	928	1376	-7	0000	00B1	1	0	52	4	0	0	0	0	0	0
#0CEA [3306]	0	944	1384	-9	0000	0067	1	0	1	4	0	0	0	0	0	0
#0CEB [3307]	0	1104	1448	-7	0000	00B1	1	0	52	4	0	0	0	0	0	0
#0CEC [3308]	0	1248	1536	-9	0000	0067	1	0	1	4	0	0	0	0	0	0
#0CED [3309]	0	1376	1392	-7	0000	00B1	1	0	52	4	0	0	0	0	0	0
#0CEE [3310]	0	1392	1416	-9	0000	0067	1	0	1	4	0	0	0	0	0	0
#0CEF [3311]	0	368	1352	0	09F2	0000	2	1	68	0	0	0	0	0	0	0
#0CF0 [3312]	0	1296	1688	0	09C8	0000	2	1	68	0	0	0	0	0	0	0
#0CF1 [3313]	0	1040	1336	0	0A07	0000	2	1	70	0	0	0	0	0	0	0
#0CF2 [3314]	0	880	1128	0	09DD	0000	2	1	68	0	0	0	0	0	0	0
#0CF3 [3315]	0	1728	1056	0	09BA	0000	2	1	69	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
