场景号	地图号	进入脚本	传送脚本
$00BD [189]	200	0000	738D	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0CFE [3326]	0	560	1944	0	7D62	0000	1	5	0	0	0	0	0	0	0	0
#0CFF [3327]	0	1824	688	0	7D6A	0000	1	5	0	0	0	0	0	0	0	0
#0D00 [3328]	0	912	1864	0	9FBB	0002	2	5	60	0	0	0	0	0	0	0
#0D01 [3329]	0	912	1784	0	9FB5	0002	2	5	60	0	0	0	0	0	0	0
#0D02 [3330]	0	672	1552	0	9FBF	9CC9	2	5	60	0	0	0	0	0	0	0
#0D03 [3331]	0	912	1624	0	9FC3	0000	2	5	60	0	0	0	0	0	0	0
#0D04 [3332]	0	1232	1640	0	9FC7	9CC9	2	5	60	0	0	0	0	0	0	0
#0D05 [3333]	0	1328	1496	0	9FCB	9CC2	2	5	462	0	0	0	0	0	0	0
#0D06 [3334]	0	1120	1408	10	9FCF	9CAA	2	5	11	0	0	0	0	0	0	0
#0D07 [3335]	0	1456	1288	10	9FD3	9CAA	2	5	11	0	0	0	0	0	0	0
#0D08 [3336]	0	1728	1456	0	9FB9	9CC9	2	5	60	0	0	0	0	0	0	0
#0D09 [3337]	0	1280	1088	0	9FCB	9CC2	2	5	462	0	0	0	0	0	0	0
#0D0A [3338]	0	1392	920	10	A0F9	9CAA	2	5	11	0	0	0	0	0	0	0
#0D0B [3339]	0	1232	904	10	9FD3	9CAA	2	5	11	0	0	0	0	0	0	0
#0D0C [3340]	0	1248	1216	0	9FD1	0002	2	5	60	0	0	0	0	0	0	0
#0D0D [3341]	0	448	1728	0	9FC1	0002	2	5	60	0	0	0	0	0	0	0
#0D0E [3342]	0	352	1616	0	9FC5	9CB3	2	5	60	0	0	0	0	0	0	0
#0D0F [3343]	0	1024	896	0	9FC1	9CB3	2	5	60	0	0	0	0	0	0	0
#0D10 [3344]	0	848	904	0	9FCD	9CC9	2	5	60	0	0	0	0	0	0	0
#0D11 [3345]	0	816	1240	10	9FD3	9CAA	2	5	11	0	0	0	0	0	0	0
#0D12 [3346]	0	448	1360	0	9FBD	0002	2	5	60	0	0	0	0	0	0	0
#0D13 [3347]	0	512	1216	0	9FC5	9CC9	2	5	60	0	0	0	0	0	0	0
#0D14 [3348]	0	656	824	0	9FC1	9CC9	2	5	60	0	0	0	0	0	0	0
#0D15 [3349]	0	992	704	0	9FD1	9CC2	2	5	462	0	0	0	0	0	0	0
#0D16 [3350]	0	928	672	0	9FC7	9CC9	2	5	60	0	0	0	0	0	0	0
#0D17 [3351]	0	784	696	10	9FCF	9CAA	2	5	11	0	0	0	0	0	0	0
#0D18 [3352]	0	1216	368	0	9FBF	0000	2	5	60	0	0	0	0	0	0	0
#0D19 [3353]	0	1552	680	0	9FC5	0002	2	5	60	0	0	0	0	0	0	0
#0D1A [3354]	0	1504	544	0	9FB9	9CC9	2	5	60	0	0	0	0	0	0	0
#0D1B [3355]	0	1552	680	10	9FCF	9CAA	2	5	11	0	0	0	0	0	0	0
#0D1C [3356]	0	1536	704	10	9FD3	9CAA	2	5	11	0	0	0	0	0	0	0
#0D1D [3357]	0	496	328	0	9FC1	9CC9	2	5	60	0	0	0	0	0	0	0
#0D1E [3358]	0	784	168	0	9FCB	9CC2	2	5	462	0	0	0	0	0	0	0
#0D1F [3359]	0	800	224	10	A0F9	9CAA	2	5	11	0	0	0	0	0	0	0
#0D20 [3360]	0	1152	224	0	9FBB	0002	2	5	60	0	0	0	0	0	0	0
#0D21 [3361]	0	432	792	0	9FBF	0002	2	5	60	0	0	0	0	0	0	0
#0D22 [3362]	0	576	768	0	9FC1	9CC9	2	5	60	0	0	0	0	0	0	0
#0D23 [3363]	0	1056	1792	0	0945	0000	2	1	10	0	0	0	0	0	0	0
#0D24 [3364]	0	352	1408	0	07FB	0000	2	1	10	0	0	0	0	0	0	0
#0D25 [3365]	0	1200	1224	0	07D7	0000	2	1	10	0	0	0	0	0	0	0
#0D26 [3366]	0	784	1016	0	094B	0000	2	1	10	0	0	0	0	0	0	0
#0D27 [3367]	0	736	880	0	07A1	0000	2	1	10	0	0	0	0	0	0	0
#0D28 [3368]	0	1136	792	0	0951	0000	2	1	10	0	0	0	0	0	0	0
#0D29 [3369]	0	1680	584	0	0801	0000	2	1	10	0	0	0	0	0	0	0
#0D2A [3370]	0	496	328	0	0981	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
