场景号	地图号	进入脚本	传送脚本
$00BE [190]	159	7CD4	734D	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0D2B [3371]	0	1728	736	0	7351	0000	1	6	0	0	0	0	0	0	0	0
#0D2C [3372]	0	1008	1912	0	734D	0000	1	6	0	0	0	0	0	0	0	0
#0D2D [3373]	0	1824	816	0	7B1C	0000	2	7	83	3	1	0	0	0	0	0
#0D2E [3374]	0	848	1704	0	9FBF	9CC9	2	5	60	0	0	0	0	0	0	0
#0D2F [3375]	0	1216	1504	0	A0FB	9CC9	2	5	60	0	0	0	0	0	0	0
#0D30 [3376]	0	672	1344	0	9FD9	9CAA	1	5	466	0	0	0	0	0	0	0
#0D31 [3377]	0	544	1616	0	9CE7	9CA4	1	5	473	1	0	0	0	0	0	0
#0D32 [3378]	0	400	1560	0	A0FD	9CAA	1	5	11	0	0	0	0	0	0	0
#0D33 [3379]	0	384	1312	0	9FC1	9CC9	2	5	60	0	0	0	0	0	0	0
#0D34 [3380]	0	624	1080	0	9FD5	9CAA	1	5	466	0	0	0	0	0	0	0
#0D35 [3381]	0	368	968	0	9FBD	9CC9	2	5	60	0	0	0	0	0	0	0
#0D36 [3382]	0	688	824	0	9FD3	9CAA	1	5	11	0	0	0	0	0	0	0
#0D37 [3383]	0	304	616	0	A0FF	9CC9	2	5	60	0	0	0	0	0	0	0
#0D38 [3384]	0	832	656	0	9FC1	9CC9	2	5	60	0	0	0	0	0	0	0
#0D39 [3385]	0	1440	896	0	9FD9	9CAA	1	5	466	0	0	0	0	0	0	0
#0D3A [3386]	0	1312	592	0	9CE1	9CA4	1	5	473	1	0	0	0	0	0	0
#0D3B [3387]	0	864	480	0	9FD7	9CAA	1	5	466	0	0	0	0	0	0	0
#0D3C [3388]	0	1488	1240	0	9FBF	9CC9	2	5	60	0	0	0	0	0	0	0
#0D3D [3389]	0	400	1752	0	9FD5	9CAA	2	5	466	0	0	0	0	0	0	0
#0D3E [3390]	0	704	1184	0	9FB9	9CC9	2	5	60	0	0	0	0	0	0	0
#0D3F [3391]	0	1008	872	0	A0FD	9CAA	2	5	11	0	0	0	0	0	0	0
#0D40 [3392]	0	736	1296	0	0801	0000	2	1	10	0	0	0	0	0	0	0
#0D41 [3393]	0	272	1144	0	0789	0000	2	1	10	0	0	0	0	0	0	0
#0D42 [3394]	0	1312	592	0	0759	0000	2	1	10	0	0	0	0	0	0	0
#0D43 [3395]	0	928	832	0	07D7	0000	2	1	10	0	0	0	0	0	0	0
#0D44 [3396]	0	576	1056	0	0801	0000	2	1	10	0	0	0	0	0	0	0
#0D45 [3397]	0	720	600	0	07D7	0000	2	1	10	0	0	0	0	0	0	0
#0D46 [3398]	0	1088	1056	0	078F	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
