场景号	地图号	进入脚本	传送脚本
$00BF [191]	161	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0D47 [3399]	0	1328	1352	0	7359	0000	1	5	0	0	0	0	0	0	0	0
#0D48 [3400]	0	992	992	0	7361	0000	1	5	0	0	0	0	0	0	0	0
#0D49 [3401]	0	1536	528	0	7369	0000	1	5	0	0	0	0	0	0	0	0
#0D4A [3402]	0	656	376	0	7371	0000	1	5	0	0	0	0	0	0	0	0
#0D4B [3403]	0	576	1504	0	7379	0000	1	5	0	0	0	0	0	0	0	0
#0D4C [3404]	0	1232	408	0	0AC2	0000	1	1	0	0	0	0	0	0	0	0
#0D4D [3405]	0	1248	400	0	0A98	0000	1	1	0	0	0	0	0	0	0	0
#0D4E [3406]	0	1312	384	0	0A80	0000	1	1	0	0	0	0	0	0	0	0
#0D4F [3407]	0	1456	376	0	0B88	0000	1	1	0	0	0	0	0	0	0	0
#0D50 [3408]	0	448	1360	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#0D51 [3409]	0	480	1344	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#0D52 [3410]	0	432	1368	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#0D53 [3411]	0	576	1328	0	0AEC	0000	1	1	0	0	0	0	0	0	0	0
#0D54 [3412]	0	736	848	0	0AC8	0000	1	1	0	0	0	0	0	0	0	0
#0D55 [3413]	0	800	800	0	0A4A	0000	1	1	0	0	0	0	0	0	0	0
#0D56 [3414]	0	784	808	0	0ACE	0000	1	1	0	0	0	0	0	0	0	0
#0D57 [3415]	0	672	864	0	0A62	0000	1	1	0	0	0	0	0	0	0	0
#0D58 [3416]	0	640	880	0	0A62	0000	1	1	0	0	0	0	0	0	0	0
#0D59 [3417]	0	528	184	0	0A86	0000	1	1	0	0	0	0	0	0	0	0
#0D5A [3418]	0	384	256	0	0ABC	0000	1	1	0	0	0	0	0	0	0	0
#0D5B [3419]	0	384	288	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#0D5C [3420]	0	368	312	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#0D5D [3421]	0	736	224	0	0AB0	0000	1	1	0	0	0	0	0	0	0	0
#0D5E [3422]	0	704	208	0	0B7C	0000	1	1	0	0	0	0	0	0	0	0
#0D5F [3423]	0	768	240	0	0A98	0000	1	1	0	0	0	0	0	0	0	0
#0D60 [3424]	0	1648	1240	0	0AD4	0000	1	1	0	0	0	0	0	0	0	0
#0D61 [3425]	0	1680	1256	0	0AE0	0000	1	1	0	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
