场景号	地图号	进入脚本	传送脚本
#00C0 [192]	31	0C50	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0D62 [3426]	0	1520	1496	0	76A7	0000	1	5	0	0	0	0	0	0	0	0	
@0D63 [3427]	0	1312	1536	0	7548	0000	1	5	0	0	0	0	0	0	0	0	
@0D64 [3428]	0	1312	1472	0	754E	0000	1	5	0	0	0	0	0	0	0	0	
@0D65 [3429]	0	992	1424	0	7554	0000	1	5	0	0	0	0	0	0	0	0	
@0D66 [3430]	0	960	1536	0	755A	0000	1	5	0	0	0	0	0	0	0	0	
@0D67 [3431]	0	592	1480	0	7560	0000	1	5	0	0	0	0	0	0	0	0	
@0D68 [3432]	0	592	1320	0	7566	0000	1	5	0	0	0	0	0	0	0	0	
@0D69 [3433]	0	1280	1296	0	756C	0000	1	5	0	0	0	0	0	0	0	0	
@0D6A [3434]	0	1312	1184	0	7572	0000	1	5	0	0	0	0	0	0	0	0	
@0D6B [3435]	0	1520	1240	0	7578	0000	1	5	0	0	0	0	0	0	0	0	
@0D6C [3436]	0	1536	1168	0	757E	0000	1	5	0	0	0	0	0	0	0	0	
@0D6D [3437]	0	1792	528	0	7584	0000	1	5	0	0	0	0	0	0	0	0	
@0D6E [3438]	0	1792	672	0	758A	0000	1	5	0	0	0	0	0	0	0	0	
@0D6F [3439]	0	1520	680	0	7590	0000	1	5	0	0	0	0	0	0	0	0	
@0D70 [3440]	0	1520	520	0	7596	0000	1	5	0	0	0	0	0	0	0	0	
@0D71 [3441]	0	1008	696	0	759C	0000	1	5	0	0	0	0	0	0	0	0	
@0D72 [3442]	0	992	544	0	75A2	0000	1	5	0	0	0	0	0	0	0	0	
@0D73 [3443]	0	784	520	0	75A9	0000	1	5	0	0	0	0	0	0	0	0	
@0D74 [3444]	0	800	832	0	75AF	0000	1	5	0	0	0	0	0	0	0	0	
@0D75 [3445]	0	992	736	0	75B5	0000	1	5	0	0	0	0	0	0	0	0	
@0D76 [3446]	0	992	800	0	75BB	0000	1	5	0	0	0	0	0	0	0	0	
@0D77 [3447]	0	1488	872	0	75C1	0000	1	5	0	0	0	0	0	0	0	0	
@0D78 [3448]	0	1520	856	0	75C5	0000	1	5	0	0	0	0	0	0	0	0	
@0D79 [3449]	0	1760	864	0	75C9	0000	1	5	0	0	0	0	0	0	0	0	
@0D7A [3450]	0	1792	960	0	75CF	0000	1	5	0	0	0	0	0	0	0	0	
@0D7B [3451]	0	1760	1104	0	75D5	0000	1	5	0	0	0	0	0	0	0	0	
@0D7C [3452]	0	1792	1232	0	75DB	0000	1	5	0	0	0	0	0	0	0	0	
@0D7D [3453]	0	1216	1040	0	75E2	0000	1	5	0	0	0	0	0	0	0	0	
@0D7E [3454]	0	1184	1008	0	75E5	0000	1	5	0	0	0	0	0	0	0	0	
@0D7F [3455]	0	1216	272	0	75E8	0000	1	5	0	0	0	0	0	0	0	0	
@0D80 [3456]	0	1184	464	0	75EF	0000	1	5	0	0	0	0	0	0	0	0	
@0D81 [3457]	0	592	312	0	75F5	0000	1	5	0	0	0	0	0	0	0	0	
@0D82 [3458]	0	592	1208	0	75FB	0000	1	5	0	0	0	0	0	0	0	0	
@0D83 [3459]	0	400	1240	0	7601	0000	1	5	0	0	0	0	0	0	0	0	
@0D84 [3460]	0	400	1288	0	7607	0000	1	5	0	0	0	0	0	0	0	0	
@0D85 [3461]	0	160	1296	0	760D	0000	1	5	0	0	0	0	0	0	0	0	
@0D86 [3462]	0	176	1240	0	7613	0000	1	5	0	0	0	0	0	0	0	0	
@0D87 [3463]	0	784	1144	0	7619	0000	1	5	0	0	0	0	0	0	0	0	
@0D88 [3464]	0	784	1048	0	761F	0000	1	5	0	0	0	0	0	0	0	0	
@0D89 [3465]	0	960	1088	0	7625	0000	1	5	0	0	0	0	0	0	0	0	
@0D8A [3466]	0	992	944	0	762C	0000	1	5	0	0	0	0	0	0	0	0	
@0D8B [3467]	0	784	936	0	7633	0000	1	5	0	0	0	0	0	0	0	0	
@0D8C [3468]	0	768	1024	0	763A	0000	1	5	0	0	0	0	0	0	0	0	
@0D8D [3469]	0	400	856	0	7640	0000	1	5	0	0	0	0	0	0	0	0	
@0D8E [3470]	0	368	1128	0	7647	0000	1	5	0	0	0	0	0	0	0	0	
@0D8F [3471]	0	160	1024	0	764E	0000	1	5	0	0	0	0	0	0	0	0	
@0D90 [3472]	0	176	904	0	7654	0000	1	5	0	0	0	0	0	0	0	0	
@0D91 [3473]	0	784	632	0	765A	0000	1	5	0	0	0	0	0	0	0	0	
@0D92 [3474]	0	752	584	0	7661	0000	1	5	0	0	0	0	0	0	0	0	
@0D93 [3475]	0	160	624	0	7667	0000	1	5	0	0	0	0	0	0	0	0	
@0D94 [3476]	0	160	432	0	766D	0000	1	5	0	0	0	0	0	0	0	0	
@0D95 [3477]	0	400	360	0	7673	0000	1	5	0	0	0	0	0	0	0	0	
@0D96 [3478]	0	368	312	0	767A	0000	1	5	0	0	0	0	0	0	0	0	
@0D97 [3479]	0	160	272	0	7544	0000	1	5	0	0	0	0	0	0	0	0	
@0D98 [3480]	0	1632	1136	10	7391	0005	1	5	501	0	0	0	0	0	0	0	
@0D99 [3481]	0	1104	984	10	73AC	0005	1	5	501	0	0	0	0	0	0	0	
@0D9A [3482]	0	720	1272	1	76B8	03D8	2	1	447	0	0	0	0	0	0	0	
