场景号	地图号	进入脚本	传送脚本
#00C1 [193]	15	0C77	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0DB5 [3509]	0	1248	720	0	0000	0000	1	0	90	1	1	0	0	0	0	0	
@0DB6 [3510]	0	1216	736	0	0000	0000	1	0	102	1	0	0	0	0	0	0	
@0DB7 [3511]	0	1216	752	0	0000	0000	1	0	51	1	0	0	0	0	0	0	
@0DB8 [3512]	0	1136	776	0	0000	0000	1	0	125	1	2	0	0	0	0	0	
@0DB9 [3513]	0	1136	792	0	0000	0000	1	0	342	1	2	0	0	0	0	0	
@0DBA [3514]	0	1104	792	0	0000	0000	1	0	113	1	1	0	0	0	0	0	
@0DBB [3515]	0	1088	800	0	0000	0000	1	0	104	1	1	0	0	0	0	0	
@0DBC [3516]	0	1072	824	0	0000	0000	1	0	51	1	1	0	0	0	0	0	
@0DBD [3517]	0	1120	800	0	0000	0000	1	0	142	1	1	0	0	0	0	0	
@0DBE [3518]	0	1232	760	0	0000	0000	1	0	342	1	1	0	0	0	0	0	
@0DBF [3519]	0	1152	800	0	0000	0000	1	0	102	1	1	0	0	0	0	0	
@0DC0 [3520]	0	1280	752	0	0000	0000	1	0	140	1	1	0	0	0	0	0	
@0DC1 [3521]	0	1200	760	0	0000	0000	1	0	241	0	0	6	0	0	0	0	
@0DC2 [3522]	0	1184	768	0	0000	0C5F	1	0	242	0	0	2	0	0	0	0	
@0DC3 [3523]	0	1088	688	0	0000	0C75	1	0	7	3	3	0	0	0	0	0	
