场景号	地图号	进入脚本	传送脚本
#0002 [002]	10	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0021 [33]	0	1184	784	0	1173	0000	1	5	0	0	0	0	0	0	0	0	
@0022 [34]	0	1328	632	0	18D1	0000	1	1	0	0	0	0	0	0	0	0	
@0023 [35]	0	1488	728	0	1379	0000	0	2	58	0	0	0	0	0	0	0	
@0024 [36]	0	1424	728	0	1542	0000	0	6	31	3	2	0	0	0	0	0	
@0025 [37]	0	1472	736	0	1504	0000	0	2	32	3	1	0	0	0	0	0	
@0026 [38]	0	1472	720	0	1DB3	0000	0	1	244	0	0	1	0	0	0	0	
@0027 [39]	0	1440	736	0	1D40	0000	0	6	21	3	2	0	0	0	0	0	
@0028 [40]	0	1424	728	0	0000	0000	0	0	215	0	0	2	0	0	0	0	
@0029 [41]	0	1472	704	4	0000	0000	0	0	0	0	0	0	0	0	0	0	
@002A [42]	0	1456	712	0	0A1A	0000	1	1	0	0	0	0	0	0	0	0	
@002B [43]	0	1184	704	0	0AAA	0000	1	1	0	0	0	0	0	0	0	0	
@002C [44]	0	1456	696	0	0AE6	0000	1	1	0	0	0	0	0	0	0	0	
