场景号	地图号	进入脚本	传送脚本
#0014 [020]	23	2C65	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0156 [342]	0	480	1536	0	210C	0000	1	5	0	0	0	0	0	0	0	0	
@0157 [343]	0	1152	944	0	2225	0000	2	5	365	3	2	0	0	0	0	0	
@0158 [344]	0	1168	1144	0	0000	0000	0	0	244	0	0	1	0	0	0	0	
@0159 [345]	0	1184	1184	0	0000	271D	0	0	2	3	3	0	0	0	0	0	
@015A [346]	0	1184	1152	0	0000	0000	0	0	366	0	0	0	0	0	0	0	
@015B [347]	0	1200	1176	0	0000	0000	0	0	193	0	0	13	0	0	0	0	
@015C [348]	0	1200	1144	0	0000	0000	0	0	364	0	0	0	0	0	0	0	
@015D [349]	0	496	1528	0	2278	0000	0	5	18	3	2	0	0	0	0	0	
@015E [350]	0	1120	1232	0	23EC	0000	0	6	212	0	0	0	0	0	0	0	
@015F [351]	0	1136	1240	0	0000	0000	0	0	222	0	0	1	0	0	0	0	
@0160 [352]	0	1120	1248	0	0000	0000	0	0	213	0	0	0	0	0	0	0	
@0161 [353]	0	784	1384	0	2491	0000	0	6	0	0	0	0	0	0	0	0	
@0162 [354]	0	912	1368	0	24D6	0000	0	2	226	0	0	0	0	0	0	0	
@0163 [355]	0	720	1304	0	24D6	0000	0	2	227	0	0	0	0	0	0	0	
@0164 [356]	0	1232	1304	0	24D6	0000	0	2	227	0	0	0	0	0	0	0	
@0165 [357]	0	800	1248	0	24D6	0000	0	2	226	0	0	0	0	0	0	0	
@0166 [358]	0	896	1248	0	24D6	0000	0	2	227	0	0	0	0	0	0	0	
@0167 [359]	0	1008	1336	0	24D6	0000	0	2	226	0	0	0	0	0	0	0	
@0168 [360]	0	736	1200	0	0000	0000	2	2	225	0	0	0	0	0	0	0	
@0169 [361]	0	1312	1024	0	0000	0008	2	2	223	1	0	0	0	0	0	0	
@016A [362]	0	992	1312	0	0000	0000	2	2	223	1	1	0	0	0	0	0	
@016B [363]	0	1504	1152	0	21B6	0000	1	1	0	0	0	0	0	0	0	0	
@016C [364]	0	848	1080	0	254C	0000	1	3	10	0	0	0	0	0	0	0	
@016D [365]	0	752	1144	3	0000	001C	1	0	8	0	0	0	0	0	0	0	
@016E [366]	0	736	1152	3	0000	001D	1	0	8	0	0	0	0	0	0	0	
@016F [367]	0	720	1160	3	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0170 [368]	0	704	1168	3	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0171 [369]	0	688	1176	3	0000	001D	1	0	8	0	0	0	0	0	0	0	
@0172 [370]	0	672	1184	3	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0173 [371]	0	752	1096	3	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0174 [372]	0	736	1104	3	0000	001D	1	0	8	0	0	0	0	0	0	0	
@0175 [373]	0	720	1112	3	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0176 [374]	0	704	1120	3	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0177 [375]	0	688	1128	3	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0178 [376]	0	672	1136	3	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0179 [377]	0	656	1144	3	0000	001D	1	0	8	0	0	0	0	0	0	0	
@017A [378]	0	640	1152	3	0000	001E	1	0	8	0	0	0	0	0	0	0	
@017B [379]	0	624	1160	3	0000	001D	1	0	8	0	0	0	0	0	0	0	
@017C [380]	0	608	1168	3	0000	001C	1	0	8	0	0	0	0	0	0	0	
@017D [381]	0	736	1088	3	0000	001E	1	0	8	0	0	0	0	0	0	0	
@017E [382]	0	720	1080	3	0000	001E	1	0	8	0	0	0	0	0	0	0	
@017F [383]	0	704	1072	3	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0180 [384]	0	688	1064	3	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0181 [385]	0	672	1072	3	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0182 [386]	0	640	1088	3	0000	001D	1	0	8	0	0	0	0	0	0	0	
@0183 [387]	0	624	1096	3	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0184 [388]	0	608	1104	3	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0185 [389]	0	592	1112	3	0000	001C	1	0	8	0	0	0	0	0	0	0	
@0186 [390]	0	576	1120	3	0000	001D	1	0	8	0	0	0	0	0	0	0	
@0187 [391]	0	560	1128	3	0000	001E	1	0	8	0	0	0	0	0	0	0	
@0188 [392]	0	1168	1080	9	0000	001C	1	0	9	0	0	0	0	0	0	0	
@0189 [393]	0	1264	984	0	0A98	0000	1	1	0	0	0	0	0	0	0	0	
@018A [394]	0	1296	1000	0	0A92	0000	1	1	0	0	0	0	0	0	0	0	
