场景号	地图号	进入脚本	传送脚本
$00C8 [200]	187	810E	81AF	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0DD6 [3542]	0	1776	1320	0	81BB	0000	1	6	0	0	0	0	0	0	0	0
#0DD7 [3543]	0	1584	1448	-3	8551	0000	2	2	478	0	0	0	0	0	0	0
#0DD8 [3544]	0	1568	1440	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0DD9 [3545]	0	1584	1432	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0DDA [3546]	0	1600	1440	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0DDB [3547]	0	1568	1424	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0DDC [3548]	0	1616	1432	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0DDD [3549]	0	1600	1424	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0DDE [3550]	0	1584	1416	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0DDF [3551]	0	1568	1424	0	0000	0000	0	0	636	0	0	0	0	0	0	0
#0DE0 [3552]	0	1632	1440	0	0000	0000	0	0	5	3	1	0	0	0	0	0
#0DE1 [3553]	0	1776	1144	0	9E85	9CB9	2	5	471	4	0	0	0	0	0	0
#0DE2 [3554]	0	1744	1016	0	9FED	9CB9	2	5	471	4	0	0	0	0	0	0
#0DE3 [3555]	0	1760	976	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0DE4 [3556]	0	1536	1104	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0DE5 [3557]	0	1520	856	0	9FEB	9CB9	2	5	471	4	0	0	0	0	0	0
#0DE6 [3558]	0	1600	832	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0DE7 [3559]	0	1600	880	0	9FF3	9CB9	2	5	471	4	0	0	0	0	0	0
#0DE8 [3560]	0	1520	728	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0DE9 [3561]	0	1808	792	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0DEA [3562]	0	1600	704	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0DEB [3563]	0	1792	640	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0DEC [3564]	0	1264	504	0	9E85	9CB9	2	5	471	4	0	0	0	0	0	0
#0DED [3565]	0	1424	504	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0DEE [3566]	0	1696	800	0	9FEB	9CB9	2	5	471	4	0	0	0	0	0	0
#0DEF [3567]	0	1632	496	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0DF0 [3568]	0	1072	328	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0DF1 [3569]	0	928	400	0	9F1D	9CB9	2	5	471	4	0	0	0	0	0	0
#0DF2 [3570]	0	1328	360	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0DF3 [3571]	0	1008	296	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0DF4 [3572]	0	752	296	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0DF5 [3573]	0	1024	160	0	9FEB	9CB9	2	5	471	4	0	0	0	0	0	0
#0DF6 [3574]	0	656	216	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0DF7 [3575]	0	464	520	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0DF8 [3576]	0	736	448	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0DF9 [3577]	0	480	928	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0DFA [3578]	0	144	904	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0DFB [3579]	0	304	888	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0DFC [3580]	0	224	864	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0DFD [3581]	0	576	1280	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0DFE [3582]	0	480	1296	0	9FEB	9CB9	2	5	471	4	0	0	0	0	0	0
#0DFF [3583]	0	368	1320	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0E00 [3584]	0	432	1640	0	9FEF	9CB9	2	5	471	4	0	0	0	0	0	0
#0E01 [3585]	0	976	1784	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0E02 [3586]	0	1072	1816	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0E03 [3587]	0	1040	1672	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0E04 [3588]	0	816	1080	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0E05 [3589]	0	864	1216	0	9FF3	9CB9	2	5	471	4	0	0	0	0	0	0
#0E06 [3590]	0	800	1232	0	9FEB	9CB9	2	5	471	4	0	0	0	0	0	0
#0E07 [3591]	0	704	1344	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0E08 [3592]	0	704	1328	0	9FEB	9CB9	2	5	471	4	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
