场景号	地图号	进入脚本	传送脚本
$00CA [202]	162	8105	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0E0A [3594]	0	160	480	0	7D7E	0000	1	5	0	0	0	0	0	0	0	0
#0E0B [3595]	0	1568	384	0	8113	0000	1	6	0	0	0	0	0	0	0	0
#0E0C [3596]	0	1376	864	0	87B1	0000	1	5	0	0	0	0	0	0	0	0
#0E0D [3597]	0	1456	392	0	81FC	0011	2	2	443	3	3	0	0	0	0	0
#0E0E [3598]	0	1552	440	0	8201	000E	2	2	443	3	1	0	0	0	0	0
#0E0F [3599]	0	1424	376	0	8205	000B	2	2	443	3	0	0	0	0	0	0
#0E10 [3600]	0	1584	456	0	820A	000B	2	2	443	3	0	0	0	0	0	0
#0E11 [3601]	0	1568	352	6	0000	0000	1	0	343	1	0	0	0	0	0	0
#0E12 [3602]	0	1472	304	6	0000	0000	1	0	343	1	0	0	0	0	0	0
#0E13 [3603]	0	1552	328	6	0000	0000	1	0	206	3	0	0	0	0	0	0
#0E14 [3604]	0	1504	416	0	81C7	0000	2	7	205	3	1	0	0	0	0	0
#0E15 [3605]	0	544	816	0	820F	0000	2	1	424	0	0	0	0	0	0	0
#0E16 [3606]	0	736	608	0	820F	0000	2	1	425	0	0	0	0	0	0	0
#0E17 [3607]	0	336	568	0	820F	0000	2	1	427	0	0	0	0	0	0	0
#0E18 [3608]	0	256	624	0	820F	0000	2	1	424	0	0	0	0	0	0	0
#0E19 [3609]	0	944	728	0	820F	0000	2	1	425	0	0	0	0	0	0	0
#0E1A [3610]	0	656	824	0	820F	0000	2	1	426	0	0	0	0	0	0	0
#0E1B [3611]	0	688	728	0	820F	0000	2	1	424	0	0	0	0	0	0	0
#0E1C [3612]	0	1056	528	0	820F	0000	2	1	427	0	0	0	0	0	0	0
#0E1D [3613]	0	1104	744	0	820F	0000	2	1	425	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
