场景号	地图号	进入脚本	传送脚本
#00CB [203]	176	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0E1E [3614]	0	208	1448	0	813B	0000	1	7	0	0	0	0	0	0	0	0	
@0E1F [3615]	0	1824	1136	0	813F	0000	1	7	0	0	0	0	0	0	0	0	
@0E20 [3616]	0	1088	848	0	8729	0000	1	5	0	0	0	0	0	0	0	0	
@0E21 [3617]	0	1104	792	0	8696	0000	1	5	0	0	0	0	0	0	0	0	
@0E22 [3618]	0	960	928	0	0411	0000	1	5	0	0	0	0	0	0	0	0	
@0E23 [3619]	0	960	912	0	03F3	0000	1	5	0	0	0	0	0	0	0	0	
@0E24 [3620]	0	864	1040	0	0408	0000	1	6	0	0	0	0	0	0	0	0	
@0E25 [3621]	0	848	1016	0	03EA	0000	1	6	0	0	0	0	0	0	0	0	
@0E26 [3622]	0	608	1152	0	03FF	0000	1	5	0	0	0	0	0	0	0	0	
@0E27 [3623]	0	720	1176	0	03FF	0000	1	7	0	0	0	0	0	0	0	0	
@0E28 [3624]	0	784	1240	0	03FF	0000	1	5	0	0	0	0	0	0	0	0	
@0E29 [3625]	0	672	1072	0	03E1	0000	1	5	0	0	0	0	0	0	0	0	
@0E2A [3626]	0	720	1128	0	03E1	0000	1	7	0	0	0	0	0	0	0	0	
@0E2B [3627]	0	848	1160	0	03E1	0000	1	5	0	0	0	0	0	0	0	0	
@0E2C [3628]	0	528	1240	0	865B	0011	2	2	443	3	3	0	0	0	0	0	
@0E2D [3629]	0	624	1288	0	8660	000E	2	2	443	3	1	0	0	0	0	0	
@0E2E [3630]	0	752	1032	0	866A	0011	2	2	443	3	3	0	0	0	0	0	
@0E2F [3631]	0	880	1096	0	8670	000E	2	2	443	3	1	0	0	0	0	0	
@0E30 [3632]	0	896	912	0	8686	000B	2	2	443	3	0	0	0	0	0	0	
@0E31 [3633]	0	992	960	0	868B	000B	2	2	443	3	0	0	0	0	0	0	
@0E32 [3634]	0	912	1240	0	87C4	0011	2	2	443	3	3	0	0	0	0	0	
@0E33 [3635]	0	1136	776	0	0000	0000	0	0	2	3	2	0	0	0	0	0	
@0E34 [3636]	0	1200	744	0	0000	0000	0	0	529	0	0	0	0	0	0	0	
@0E35 [3637]	0	1184	752	0	0000	869C	0	0	530	0	0	0	0	0	0	0	
@0E36 [3638]	0	1184	752	0	0000	86B5	0	0	5	3	2	0	0	0	0	0	
@0E37 [3639]	0	1200	744	0	0000	0000	0	0	530	0	0	6	0	0	0	0	
@0E38 [3640]	0	1200	744	0	0000	8737	0	0	5	3	2	0	0	0	0	0	
@0E39 [3641]	0	1216	736	0	8798	0000	1	2	0	0	0	0	0	0	0	0	
