场景号	地图号	进入脚本	传送脚本
$00CC [204]	176	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0E3A [3642]	0	400	1528	0	8143	0000	1	5	0	0	0	0	0	0	0	0
#0E3B [3643]	0	848	1304	0	02F0	0000	1	5	0	0	0	0	0	0	0	0
#0E3C [3644]	0	928	1232	0	02F0	0000	1	5	0	0	0	0	0	0	0	0
#0E3D [3645]	0	1024	1152	0	02F0	0000	1	5	0	0	0	0	0	0	0	0
#0E3E [3646]	0	1040	1128	0	030C	0000	1	5	0	0	0	0	0	0	0	0
#0E3F [3647]	0	944	1208	0	030C	0000	1	5	0	0	0	0	0	0	0	0
#0E40 [3648]	0	864	1280	0	030C	0000	1	5	0	0	0	0	0	0	0	0
#0E41 [3649]	0	896	1136	0	9691	0000	1	2	0	0	0	0	0	0	0	0
#0E42 [3650]	0	720	1304	0	87B5	036B	2	2	224	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
