场景号	地图号	进入脚本	传送脚本
$00CD [205]	170	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0E43 [3651]	0	1520	1608	0	812B	0000	1	5	0	0	0	0	0	0	0	0
#0E44 [3652]	0	1136	1192	0	81BF	0000	1	5	0	0	0	0	0	0	0	0
#0E45 [3653]	0	864	1280	0	8390	0000	1	5	0	0	0	0	0	0	0	0
#0E46 [3654]	0	928	1200	0	8457	0000	1	5	0	0	0	0	0	0	0	0
#0E47 [3655]	0	1136	1032	0	8730	000B	2	2	443	3	0	0	0	0	0	0
#0E48 [3656]	0	1200	1064	0	8730	000B	2	2	443	3	0	0	0	0	0	0
#0E49 [3657]	0	816	1288	0	848F	0011	2	2	443	3	3	0	0	0	0	0
#0E4A [3658]	0	1184	1200	0	8492	0011	2	2	443	3	3	0	0	0	0	0
#0E4B [3659]	0	1136	1224	0	8495	0011	2	2	443	3	3	0	0	0	0	0
#0E4C [3660]	0	1152	1056	0	851B	0000	2	2	24	3	1	0	0	0	0	0
#0E4D [3661]	0	1088	1040	0	8520	0000	2	2	26	3	3	0	0	0	0	0
#0E4E [3662]	0	1200	1080	0	8525	0000	2	2	412	1	1	0	0	0	0	0
#0E4F [3663]	0	1040	1048	0	852B	0011	2	2	205	3	3	0	0	0	0	0
#0E50 [3664]	0	1008	1064	0	8530	0011	2	2	206	3	3	0	0	0	0	0
#0E51 [3665]	0	1184	1120	0	8538	000E	2	2	342	1	1	0	0	0	0	0
#0E52 [3666]	0	1152	1136	0	853D	000E	2	2	343	1	1	0	0	0	0	0
#0E53 [3667]	0	816	1304	0	0000	0000	0	0	397	1	2	0	0	0	0	0
#0E54 [3668]	0	864	1312	0	87A2	0000	0	2	443	3	2	0	0	0	0	0
#0E55 [3669]	0	896	1296	0	87A5	0000	0	1	214	0	0	2	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
