场景号	地图号	进入脚本	传送脚本
$00CE [206]	163	8107	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0E56 [3670]	0	288	1776	0	8117	0000	1	6	0	0	0	0	0	0	0	0
#0E57 [3671]	0	1568	1728	0	8123	0000	1	5	0	0	0	0	0	0	0	0
#0E58 [3672]	0	464	280	0	8127	0000	1	5	0	0	0	0	0	0	0	0
#0E59 [3673]	0	512	912	0	812F	0000	1	6	0	0	0	0	0	0	0	0
#0E5A [3674]	0	560	1784	0	816F	0000	1	5	0	0	0	0	0	0	0	0
#0E5B [3675]	0	1648	1480	0	8177	0000	1	5	0	0	0	0	0	0	0	0
#0E5C [3676]	0	976	1560	0	817F	0000	1	5	0	0	0	0	0	0	0	0
#0E5D [3677]	0	256	1664	0	8187	0000	1	5	0	0	0	0	0	0	0	0
#0E5E [3678]	0	1584	1192	0	818F	0000	1	5	0	0	0	0	0	0	0	0
#0E5F [3679]	0	400	1304	0	8197	0000	1	5	0	0	0	0	0	0	0	0
#0E60 [3680]	0	528	1400	0	819F	0000	1	5	0	0	0	0	0	0	0	0
#0E61 [3681]	0	736	1280	0	81A7	0000	1	5	0	0	0	0	0	0	0	0
#0E62 [3682]	0	1712	824	0	81B3	0000	1	6	0	0	0	0	0	0	0	0
#0E63 [3683]	0	1568	1024	0	8212	000B	2	2	443	3	0	0	0	0	0	0
#0E64 [3684]	0	1552	1032	0	8212	0008	2	2	443	3	2	0	0	0	0	0
#0E65 [3685]	0	608	320	0	82CA	000B	2	2	443	3	0	0	0	0	0	0
#0E66 [3686]	0	544	352	0	82D0	0008	2	2	443	3	2	0	0	0	0	0
#0E67 [3687]	0	1584	1480	0	82AF	827C	3	2	217	3	2	0	0	0	0	0
#0E68 [3688]	0	1744	1528	0	82B6	000B	3	2	219	3	0	0	0	0	0	0
#0E69 [3689]	0	336	1656	0	0000	000B	2	2	206	3	0	0	0	0	0	0
#0E6A [3690]	0	304	1672	0	0000	0008	2	2	205	3	2	0	0	0	0	0
#0E6B [3691]	0	912	1640	0	0000	8253	2	2	206	3	0	0	0	0	0	0
#0E6C [3692]	0	704	1696	0	0000	826E	2	2	443	3	3	0	0	0	0	0
#0E6D [3693]	0	1616	1320	0	0000	82C1	2	2	198	3	3	0	0	0	0	0
#0E6E [3694]	0	928	1616	0	0000	0011	2	2	199	3	3	0	0	0	0	0
#0E6F [3695]	0	992	1616	0	82B9	000B	3	2	217	3	0	0	0	0	0	0
#0E70 [3696]	0	688	1336	0	0000	0008	2	2	205	3	2	0	0	0	0	0
#0E71 [3697]	0	720	1320	0	0000	000B	2	2	198	3	0	0	0	0	0	0
#0E72 [3698]	0	416	960	0	8302	0000	2	2	206	3	2	0	0	0	0	0
#0E73 [3699]	0	416	672	0	0000	0000	2	3	217	3	1	0	0	0	0	0
#0E74 [3700]	0	960	1632	0	82BD	0000	2	2	369	0	0	16	0	0	0	0
#0E75 [3701]	0	1568	1232	0	0000	0276	2	0	46	2	0	0	0	0	0	0
#0E76 [3702]	0	1600	1264	0	0000	0272	2	0	45	0	0	0	0	0	0	0
#0E77 [3703]	0	1632	1248	0	0000	0276	2	0	46	2	0	0	0	0	0	0
#0E78 [3704]	0	1696	1248	0	0000	028D	1	0	47	2	0	0	0	0	0	0
#0E79 [3705]	0	1584	1288	0	0000	02B1	1	0	47	2	3	0	0	0	0	0
#0E7A [3706]	0	1568	1248	0	0000	02B1	1	0	47	2	3	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
