场景号	地图号	进入脚本	传送脚本
$00CF [207]	166	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0E7B [3707]	0	1088	1392	0	8173	0000	1	5	0	0	0	0	0	0	0	0
#0E7C [3708]	0	1376	1824	0	817B	0000	1	5	0	0	0	0	0	0	0	0
#0E7D [3709]	0	784	1784	0	8183	0000	1	5	0	0	0	0	0	0	0	0
#0E7E [3710]	0	704	1328	0	818B	0000	1	5	0	0	0	0	0	0	0	0
#0E7F [3711]	0	656	888	0	8193	0000	1	5	0	0	0	0	0	0	0	0
#0E80 [3712]	0	1488	968	0	819B	0000	1	5	0	0	0	0	0	0	0	0
#0E81 [3713]	0	1456	536	0	81A3	0000	1	5	0	0	0	0	0	0	0	0
#0E82 [3714]	0	608	416	0	81AB	0000	1	5	0	0	0	0	0	0	0	0
#0E83 [3715]	0	624	744	0	84C6	000B	2	3	205	3	0	0	0	0	0	0
#0E84 [3716]	0	496	728	0	84CC	01FE	2	2	206	3	2	0	0	0	0	0
#0E85 [3717]	0	608	1248	0	84D1	000E	2	2	199	3	1	0	0	0	0	0
#0E86 [3718]	0	640	1232	0	84D1	000B	2	2	217	3	0	0	0	0	0	0
#0E87 [3719]	0	768	1648	0	84DA	000B	2	3	198	3	0	0	0	0	0	0
#0E88 [3720]	0	848	1640	0	0000	0000	2	0	199	3	2	0	0	0	0	0
#0E89 [3721]	0	1120	448	0	0000	000E	2	2	198	3	1	0	0	0	0	0
#0E8A [3722]	0	1504	1648	0	0000	0008	2	2	206	3	2	0	0	0	0	0
#0E8B [3723]	0	1520	1624	0	0000	0000	2	0	219	3	0	0	0	0	0	0
#0E8C [3724]	0	464	1176	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#0E8D [3725]	0	448	1184	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#0E8E [3726]	0	400	1208	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#0E8F [3727]	0	336	1240	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#0E90 [3728]	0	544	1136	0	0A56	0000	1	1	0	0	0	0	0	0	0	0
#0E91 [3729]	0	496	1160	0	0B0A	0000	1	1	0	0	0	0	0	0	0	0
#0E92 [3730]	0	720	1192	0	0B3A	0000	1	1	0	0	0	0	0	0	0	0
#0E93 [3731]	0	752	1208	0	0A4A	0000	1	1	0	0	0	0	0	0	0	0
#0E94 [3732]	0	1280	1184	0	0B70	0000	1	1	0	0	0	0	0	0	0	0
#0E95 [3733]	0	1152	1248	0	0B04	0000	1	1	0	0	0	0	0	0	0	0
#0E96 [3734]	0	1088	1280	0	0B76	0000	1	1	0	0	0	0	0	0	0	0
#0E97 [3735]	0	1072	1288	0	0A56	0000	1	1	0	0	0	0	0	0	0	0
#0E98 [3736]	0	1408	1216	0	0AF8	0000	1	1	0	0	0	0	0	0	0	0
#0E99 [3737]	0	1440	1232	0	0B40	0000	1	1	0	0	0	0	0	0	0	0
#0E9A [3738]	0	1488	1256	0	0B0A	0000	1	1	0	0	0	0	0	0	0	0
#0E9B [3739]	0	1584	1656	0	0B7C	0000	1	1	0	0	0	0	0	0	0	0
#0E9C [3740]	0	1696	1712	0	0ADA	0000	1	1	0	0	0	0	0	0	0	0
#0E9D [3741]	0	1728	1728	0	0A56	0000	1	1	0	0	0	0	0	0	0	0
#0E9E [3742]	0	1424	1672	0	0A26	0000	1	1	0	0	0	0	0	0	0	0
#0E9F [3743]	0	432	1704	0	0AF2	0000	1	1	0	0	0	0	0	0	0	0
#0EA0 [3744]	0	480	1680	0	0ABC	0000	1	1	0	0	0	0	0	0	0	0
#0EA1 [3745]	0	528	1656	0	0A80	0000	1	1	0	0	0	0	0	0	0	0
#0EA2 [3746]	0	560	1640	0	0AC8	0000	1	1	0	0	0	0	0	0	0	0
#0EA3 [3747]	0	1392	344	0	0AFE	0000	1	1	0	0	0	0	0	0	0	0
#0EA4 [3748]	0	1440	368	0	0B5E	0000	1	1	0	0	0	0	0	0	0	0
#0EA5 [3749]	0	1456	376	0	0A4A	0000	1	1	0	0	0	0	0	0	0	0
#0EA6 [3750]	0	560	408	0	0AEC	0000	1	1	0	0	0	0	0	0	0	0
#0EA7 [3751]	0	1168	392	0	0B0A	0000	1	1	0	0	0	0	0	0	0	0
#0EA8 [3752]	0	1216	368	0	0A6E	0000	1	1	0	0	0	0	0	0	0	0
#0EA9 [3753]	0	1120	400	0	0AC8	0000	1	1	0	0	0	0	0	0	0	0
#0EAA [3754]	0	1488	792	0	0A92	0000	1	1	0	0	0	0	0	0	0	0
#0EAB [3755]	0	1232	856	0	0A98	0000	1	1	0	0	0	0	0	0	0	0
#0EAC [3756]	0	1168	888	0	0B04	0000	1	1	0	0	0	0	0	0	0	0
#0EAD [3757]	0	1216	864	0	0A1A	0000	1	1	0	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
