场景号	地图号	进入脚本	传送脚本
#00D0 [208]	169	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0EAE [3758]	0	496	456	0	811F	0000	1	5	0	0	0	0	0	0	0	0	
@0EAF [3759]	0	1184	768	0	814B	0000	1	5	0	0	0	0	0	0	0	0	
@0EB0 [3760]	0	928	544	0	8153	0000	1	5	0	0	0	0	0	0	0	0	
@0EB1 [3761]	0	768	960	0	815B	0000	1	5	0	0	0	0	0	0	0	0	
@0EB2 [3762]	0	640	688	0	8163	0000	1	5	0	0	0	0	0	0	0	0	
@0EB3 [3763]	0	928	784	0	816B	0000	1	5	0	0	0	0	0	0	0	0	
@0EB4 [3764]	0	736	400	0	0000	0000	2	0	513	0	0	0	0	0	0	0	
@0EB5 [3765]	0	720	408	0	0000	0008	2	2	342	1	2	0	0	0	0	0	
@0EB6 [3766]	0	1088	592	0	0000	0002	2	2	78	0	0	0	0	0	0	0	
@0EB7 [3767]	0	1040	600	0	0000	0002	2	2	77	0	0	0	0	0	0	0	
@0EB8 [3768]	0	1136	616	0	0000	000E	2	2	217	3	1	0	0	0	0	0	
@0EB9 [3769]	0	1120	624	0	0000	01FE	2	2	150	3	1	0	0	0	0	0	
@0EBA [3770]	0	880	616	0	0000	0000	2	2	42	0	0	0	0	0	0	0	
@0EBB [3771]	0	1040	856	0	0000	0011	2	2	40	1	3	0	0	0	0	0	
@0EBC [3772]	0	1024	880	0	0000	0000	2	2	144	1	2	0	0	0	0	0	
@0EBD [3773]	0	1104	856	0	0000	000B	2	2	106	1	3	0	0	0	0	0	
@0EBE [3774]	0	256	320	0	0000	0000	2	2	116	3	3	0	0	0	0	0	
@0EBF [3775]	0	928	880	0	0000	000E	2	2	446	1	1	0	0	0	0	0	
