场景号	地图号	进入脚本	传送脚本
$00D1 [209]	169	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0EC0 [3776]	0	656	1416	0	8147	0000	1	5	0	0	0	0	0	0	0	0
#0EC1 [3777]	0	944	968	0	814F	0000	1	5	0	0	0	0	0	0	0	0
#0EC2 [3778]	0	1296	968	0	8157	0000	1	5	0	0	0	0	0	0	0	0
#0EC3 [3779]	0	832	480	0	815F	0000	1	5	0	0	0	0	0	0	0	0
#0EC4 [3780]	0	1488	472	0	8167	0000	1	5	0	0	0	0	0	0	0	0
#0EC5 [3781]	0	688	840	0	84EF	0000	2	3	34	0	0	0	0	0	0	0
#0EC6 [3782]	0	912	1288	0	84F9	0000	2	2	13	3	0	0	0	0	0	0
#0EC7 [3783]	0	1584	824	0	84FF	0000	2	3	354	3	0	0	0	0	0	0
#0EC8 [3784]	0	1472	816	0	0000	0000	2	2	142	1	3	0	0	0	0	0
#0EC9 [3785]	0	1456	328	0	0000	000E	2	2	313	3	2	0	0	0	0	0
#0ECA [3786]	0	1424	312	0	850C	0011	2	2	82	3	3	0	0	0	0	0
#0ECB [3787]	0	752	360	0	0ACE	0000	1	1	0	0	0	0	0	0	0	0
#0ECC [3788]	0	864	368	0	0AC8	0000	1	1	0	0	0	0	0	0	0	0
#0ECD [3789]	0	576	352	0	0A2C	0000	1	1	0	0	0	0	0	0	0	0
#0ECE [3790]	0	480	400	0	0B34	0000	1	1	0	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
