场景号	地图号	进入脚本	传送脚本
#0015 [021]	18	2C8F	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@018B [395]	0	784	1272	0	0000	0002	2	2	76	0	0	0	0	0	0	0	
@018C [396]	0	688	1240	0	0000	01B4	2	2	79	4	3	0	0	0	0	0	
@018D [397]	0	752	1304	0	0000	01FE	2	2	156	3	0	0	0	0	0	0	
@018E [398]	0	1344	1584	0	0000	2D9B	2	2	105	3	0	0	0	0	0	0	
@018F [399]	0	864	1328	0	0000	2DAC	2	2	313	3	0	0	0	0	0	0	
@0190 [400]	0	1120	1424	0	2B55	0000	1	5	0	0	0	0	0	0	0	0	
@0191 [401]	0	1344	1536	0	2B59	0000	1	5	0	0	0	0	0	0	0	0	
@0192 [402]	0	880	1080	0	2731	0000	1	5	0	0	0	0	0	0	0	0	
@0193 [403]	0	352	1344	0	296C	0000	1	6	0	0	0	0	0	0	0	0	
@0194 [404]	0	416	1056	0	0000	042E	2	2	602	0	0	0	0	0	0	0	
@0195 [405]	0	352	1088	0	0000	0005	2	2	601	0	0	0	0	0	0	0	
@0196 [406]	0	464	1096	0	0000	000E	2	2	446	1	1	0	0	0	0	0	
@0197 [407]	0	432	1096	0	0000	000E	2	2	151	3	1	0	0	0	0	0	
@0198 [408]	0	416	1120	0	0000	000E	2	2	121	1	1	0	0	0	0	0	
@0199 [409]	0	336	1128	0	0000	0008	2	2	407	1	2	0	0	0	0	0	
@019A [410]	0	496	1048	0	0000	000B	2	2	153	3	0	0	0	0	0	0	
