场景号	地图号	进入脚本	传送脚本
$00D4 [212]	186	810E	81AF	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0ED5 [3797]	0	608	432	0	81B7	0000	1	5	0	0	0	0	0	0	0	0
#0ED6 [3798]	0	208	1640	0	81AF	0000	1	6	0	0	0	0	0	0	0	0
#0ED7 [3799]	0	368	1288	0	9FE7	9CB9	2	5	471	4	0	0	0	0	0	0
#0ED8 [3800]	0	352	1232	0	9FF1	9CB9	2	5	471	4	0	0	0	0	0	0
#0ED9 [3801]	0	496	1224	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0EDA [3802]	0	592	1048	0	9FED	9CB9	2	5	471	4	0	0	0	0	0	0
#0EDB [3803]	0	1600	1360	0	A0C7	9CB9	2	5	471	4	0	0	0	0	0	0
#0EDC [3804]	0	1440	1248	0	9FF3	9CB9	2	5	471	4	0	0	0	0	0	0
#0EDD [3805]	0	1408	1232	0	9FF1	9CB9	2	5	471	4	0	0	0	0	0	0
#0EDE [3806]	0	1744	1672	0	9FE7	9CB9	2	5	471	4	0	0	0	0	0	0
#0EDF [3807]	0	1856	1600	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0EE0 [3808]	0	1952	1408	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0EE1 [3809]	0	1568	1552	0	9FF1	9CB9	2	5	471	4	0	0	0	0	0	0
#0EE2 [3810]	0	1792	1552	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0EE3 [3811]	0	1408	1072	0	9FF3	9CB9	2	5	471	4	0	0	0	0	0	0
#0EE4 [3812]	0	1504	960	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0EE5 [3813]	0	1488	760	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0EE6 [3814]	0	1488	808	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0EE7 [3815]	0	1408	736	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0EE8 [3816]	0	1712	792	0	9FE7	9CB9	2	5	471	4	0	0	0	0	0	0
#0EE9 [3817]	0	1648	744	0	9FF1	9CB9	2	5	471	4	0	0	0	0	0	0
#0EEA [3818]	0	1360	600	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0EEB [3819]	0	1328	568	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0EEC [3820]	0	1248	560	0	9FEF	9CB9	2	5	471	4	0	0	0	0	0	0
#0EED [3821]	0	1408	736	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0EEE [3822]	0	1392	408	0	9FF1	9CB9	2	5	471	4	0	0	0	0	0	0
#0EEF [3823]	0	1424	360	0	9FF3	9CB9	2	5	471	4	0	0	0	0	0	0
#0EF0 [3824]	0	1360	344	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0EF1 [3825]	0	1344	400	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0EF2 [3826]	0	1264	392	0	9FE7	9CB9	2	5	471	4	0	0	0	0	0	0
#0EF3 [3827]	0	944	392	0	9FEB	9CB9	2	5	471	4	0	0	0	0	0	0
#0EF4 [3828]	0	896	336	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0EF5 [3829]	0	896	400	0	9F1B	9CB9	2	5	471	4	0	0	0	0	0	0
#0EF6 [3830]	0	768	272	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0EF7 [3831]	0	736	176	10	9FE3	9CAA	2	5	460	0	0	0	0	0	0	0
#0EF8 [3832]	0	688	936	0	9FE9	9CB9	2	5	471	4	0	0	0	0	0	0
#0EF9 [3833]	0	576	896	0	9FEF	9CB9	2	5	471	4	0	0	0	0	0	0
#0EFA [3834]	0	416	656	0	9FE7	9CB9	2	5	471	4	0	0	0	0	0	0
#0EFB [3835]	0	544	656	0	9FE5	9CB9	2	5	471	4	0	0	0	0	0	0
#0EFC [3836]	0	528	616	0	9FEB	9CB9	2	5	471	4	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
