场景号	地图号	进入脚本	传送脚本
#00D5 [213]	212	8808	8808	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0EFD [3837]	0	1552	600	0	8A81	0D35	2	1	84	0	0	0	0	0	0	0	
@0EFE [3838]	0	272	1448	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0EFF [3839]	0	944	1400	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0F00 [3840]	0	944	1384	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0F01 [3841]	0	912	1384	0	0000	0000	0	0	0	0	0	0	0	0	0	0	
@0F02 [3842]	0	1344	1312	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0F03 [3843]	0	1280	1312	0	0000	0000	0	0	0	0	0	0	0	0	0	0	
@0F04 [3844]	0	528	1560	0	0D44	0002	1	4	84	0	0	0	0	0	0	0	
@0F05 [3845]	0	528	1576	0	0D4D	0002	1	4	84	0	0	3	0	0	0	0	
@0F06 [3846]	0	624	1496	0	0D56	0002	1	4	84	0	0	5	0	0	0	0	
@0F07 [3847]	0	1104	1176	0	4C1C	0000	0	4	0	0	0	0	0	0	0	0	
@0F08 [3848]	0	672	1584	0	0D68	0002	1	4	84	0	0	2	0	0	0	0	
@0F09 [3849]	0	816	1640	0	0D71	0002	1	4	84	0	0	8	0	0	0	0	
@0F0A [3850]	0	960	1552	0	0D7A	0002	1	4	84	0	0	7	0	0	0	0	
@0F0B [3851]	0	992	1552	0	0D83	0002	1	4	84	0	0	0	0	0	0	0	
@0F0C [3852]	0	1216	1472	0	0D8C	0002	1	4	84	0	0	10	0	0	0	0	
@0F0D [3853]	0	688	1512	0	0D95	0002	1	4	84	0	0	6	0	0	0	0	
@0F0E [3854]	0	832	1440	0	0D9E	0002	1	4	84	0	0	4	0	0	0	0	
@0F0F [3855]	0	912	1384	0	0DA7	0002	1	4	84	0	0	1	0	0	0	0	
@0F10 [3856]	0	1168	1256	0	0DC1	0002	1	4	84	0	0	3	0	0	0	0	
@0F11 [3857]	0	1008	1240	0	0DCA	0002	1	4	84	0	0	0	0	0	0	0	
@0F12 [3858]	0	1056	1280	0	0DD3	0002	1	4	84	0	0	6	0	0	0	0	
@0F13 [3859]	0	928	1328	0	0DDC	0002	1	4	84	0	0	9	0	0	0	0	
@0F14 [3860]	0	688	1528	0	0DE5	0002	1	4	84	0	0	4	0	0	0	0	
@0F15 [3861]	0	784	1560	0	0DEE	0002	1	4	84	0	0	0	0	0	0	0	
@0F16 [3862]	0	1040	1448	0	0DF7	0002	1	4	84	0	0	2	0	0	0	0	
@0F17 [3863]	0	1152	1376	0	0E00	0002	1	4	84	0	0	10	0	0	0	0	
@0F18 [3864]	0	1200	1384	0	0E09	0002	1	4	84	0	0	5	0	0	0	0	
@0F19 [3865]	0	1280	1312	0	0E12	0002	1	4	84	0	0	0	0	0	0	0	
@0F1A [3866]	0	1392	1064	0	0E24	0000	1	1	0	0	0	0	0	0	0	0	
@0F1B [3867]	0	1584	1160	0	0E2A	0000	1	1	0	0	0	0	0	0	0	0	
@0F1C [3868]	0	1680	1208	0	0E30	0000	1	1	0	0	0	0	0	0	0	0	
@0F1D [3869]	0	1488	1112	0	0E36	0000	1	1	0	0	0	0	0	0	0	0	
@0F1E [3870]	0	1776	1256	0	0E3F	0000	1	1	0	0	0	0	0	0	0	0	
@0F1F [3871]	0	1472	1072	0	0573	0000	2	1	389	0	0	0	0	0	0	0	
@0F20 [3872]	0	1568	1120	0	057F	0000	2	1	389	0	0	0	0	0	0	0	
@0F21 [3873]	0	1664	1168	0	0591	0000	2	1	389	0	0	0	0	0	0	0	
@0F22 [3874]	0	1760	1216	0	0711	0000	2	1	389	0	0	0	0	0	0	0	
