场景号	地图号	进入脚本	传送脚本
$00D7 [215]	213	8808	87B1	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0F2B [3883]	0	1808	1528	0	8836	0000	1	5	0	0	0	0	0	0	0	0
#0F2C [3884]	0	864	720	0	887E	0000	1	5	0	0	0	0	0	0	0	0
#0F2D [3885]	0	1056	816	0	8886	0000	1	5	0	0	0	0	0	0	0	0
#0F2E [3886]	0	1056	640	0	888E	0000	1	5	0	0	0	0	0	0	0	0
#0F2F [3887]	0	1152	320	0	8A06	0000	2	7	26	3	1	0	0	0	0	0
#0F30 [3888]	0	1088	320	0	0000	0000	1	0	633	0	0	0	0	0	0	0
#0F31 [3889]	0	1168	248	0	0000	0000	1	0	633	0	0	0	0	0	0	0
#0F32 [3890]	0	1072	280	0	0000	0000	1	0	633	0	0	0	0	0	0	0
#0F33 [3891]	0	1120	272	0	0000	0000	1	0	443	3	0	0	0	0	0	0
#0F34 [3892]	0	1056	288	0	0000	0000	1	0	443	3	3	0	0	0	0	0
#0F35 [3893]	0	1088	352	0	0000	0000	1	0	443	3	2	0	0	0	0	0
#0F36 [3894]	0	1328	440	0	0000	8A02	0	0	5	3	1	0	0	0	0	0
#0F37 [3895]	0	1584	1656	0	A07D	0002	1	5	472	2	0	0	0	0	0	0
#0F38 [3896]	0	1424	1576	0	9CF0	9CAA	1	5	11	0	0	0	0	0	0	0
#0F39 [3897]	0	1280	1232	0	9F2B	0002	1	5	625	2	0	0	0	0	0	0
#0F3A [3898]	0	1520	824	0	9F2F	9CC9	1	5	626	2	0	0	0	0	0	0
#0F3B [3899]	0	1440	800	0	9F33	9CC9	1	5	625	2	0	0	0	0	0	0
#0F3C [3900]	0	864	1056	0	9F17	9CAA	1	5	11	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
