场景号	地图号	进入脚本	传送脚本
$00D8 [216]	214	880B	8882	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0F3D [3901]	0	1008	424	0	883A	0000	1	5	0	0	0	0	0	0	0	0
#0F3E [3902]	0	1280	736	0	8842	0000	1	5	0	0	0	0	0	0	0	0
#0F3F [3903]	0	768	336	0	884A	0000	1	5	0	0	0	0	0	0	0	0
#0F40 [3904]	0	1648	1144	0	8872	0000	1	5	0	0	0	0	0	0	0	0
#0F41 [3905]	0	416	1168	0	8882	0000	1	5	0	0	0	0	0	0	0	0
#0F42 [3906]	0	640	1296	0	888A	0000	1	5	0	0	0	0	0	0	0	0
#0F43 [3907]	0	1040	856	0	8892	0000	1	5	0	0	0	0	0	0	0	0
#0F44 [3908]	0	720	936	0	9F2D	9CC9	1	5	625	2	0	0	0	0	0	0
#0F45 [3909]	0	1072	1288	0	9FD3	9CAA	1	5	11	0	0	0	0	0	0	0
#0F46 [3910]	0	1344	1232	0	9E91	0002	1	5	472	2	0	0	0	0	0	0
#0F47 [3911]	0	1360	760	0	9F33	9CC9	1	5	625	2	0	0	0	0	0	0
#0F48 [3912]	0	1616	616	0	9CED	9CAA	1	5	11	0	0	0	0	0	0	0
#0F49 [3913]	0	944	392	0	9F43	0000	1	5	488	2	0	0	0	0	0	0
#0F4A [3914]	0	816	360	0	9F49	9CC9	1	5	488	2	0	0	0	0	0	0
#0F4B [3915]	0	592	440	0	9F2F	9CC9	1	5	626	2	0	0	0	0	0	0
#0F4C [3916]	0	352	560	0	9F2B	0002	1	5	625	2	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
