场景号	地图号	进入脚本	传送脚本
#00DA [218]	217	0000	8882	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0F66 [3942]	0	320	1088	0	8856	0000	1	1	0	0	0	0	0	0	0	0	
@0F67 [3943]	0	1520	712	0	885E	0000	1	1	0	0	0	0	0	0	0	0	
@0F68 [3944]	0	288	576	0	8862	0000	1	5	0	0	0	0	0	0	0	0	
@0F69 [3945]	0	1008	1688	0	886A	0000	1	5	0	0	0	0	0	0	0	0	
@0F6A [3946]	0	1568	1216	0	887A	0000	1	5	0	0	0	0	0	0	0	0	
@0F6B [3947]	0	912	216	0	A0AB	0000	1	5	488	2	0	0	0	0	0	0	
@0F6C [3948]	0	944	328	0	A043	9CC9	1	5	488	2	0	0	0	0	0	0	
@0F6D [3949]	0	832	336	0	A0A1	0002	1	5	488	2	0	0	0	0	0	0	
@0F6E [3950]	0	704	752	0	A0BB	A1D1	1	5	591	4	0	0	0	0	0	0	
@0F6F [3951]	0	672	864	0	A101	A1D1	1	5	591	4	0	0	0	0	0	0	
@0F70 [3952]	0	624	1096	0	A043	9CC9	1	5	488	2	0	0	0	0	0	0	
@0F71 [3953]	0	384	1072	0	9D55	9CC9	1	5	488	2	0	0	0	0	0	0	
@0F72 [3954]	0	1408	784	0	A0BD	A1D1	1	5	591	4	0	0	0	0	0	0	
@0F73 [3955]	0	1248	944	0	A101	A1D1	1	5	591	4	0	0	0	0	0	0	
@0F74 [3956]	0	1024	1152	0	A0D3	9CC9	1	5	488	2	0	0	0	0	0	0	
@0F75 [3957]	0	944	1256	0	A0C3	A1D1	1	5	591	4	0	0	0	0	0	0	
@0F76 [3958]	0	704	1376	0	A0B9	A1D1	1	5	591	4	0	0	0	0	0	0	
@0F77 [3959]	0	1008	1640	0	9D55	9CC9	1	5	488	2	0	0	0	0	0	0	
@0F78 [3960]	0	1104	1688	0	A101	A1D1	1	5	591	4	0	0	0	0	0	0	
@0F79 [3961]	0	912	1704	0	A0C1	A1D1	1	5	591	4	0	0	0	0	0	0	
@0F7A [3962]	0	1008	1752	0	A0AF	A1D1	1	5	591	4	0	0	0	0	0	0	
@0F7B [3963]	0	1600	1552	0	A0A1	0002	1	5	488	2	0	0	0	0	0	0	
