场景号	地图号	进入脚本	传送脚本
#00DB [219]	218	0000	8882	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0F7C [3964]	0	352	1392	0	8866	0000	1	1	0	0	0	0	0	0	0	0	
@0F7D [3965]	0	1616	1656	0	886E	0000	1	1	0	0	0	0	0	0	0	0	
@0F7E [3966]	0	1408	416	0	88DE	0000	1	5	0	0	0	0	0	0	0	0	
@0F7F [3967]	0	1648	216	0	A059	0002	1	5	625	2	0	0	0	0	0	0	
@0F80 [3968]	0	1568	272	0	A0A5	9CC9	1	5	488	2	0	0	0	0	0	0	
@0F81 [3969]	0	1600	320	0	A043	0002	1	5	488	2	0	0	0	0	0	0	
@0F82 [3970]	0	576	592	0	A09D	9CC9	1	5	625	2	0	0	0	0	0	0	
@0F83 [3971]	0	464	760	0	A043	9CC9	1	5	488	2	0	0	0	0	0	0	
@0F84 [3972]	0	560	808	0	A09F	9CC9	1	5	625	2	0	0	0	0	0	0	
@0F85 [3973]	0	928	688	0	A0BB	A1D1	1	5	591	4	0	0	0	0	0	0	
@0F86 [3974]	0	1312	704	0	A0CD	9CC9	1	5	625	2	0	0	0	0	0	0	
@0F87 [3975]	0	1440	912	0	A0C7	0002	1	5	472	2	0	0	0	0	0	0	
@0F88 [3976]	0	960	1152	0	A095	9CC9	1	5	625	2	0	0	0	0	0	0	
@0F89 [3977]	0	1392	1544	0	A0D5	0002	1	5	625	2	0	0	0	0	0	0	
@0F8A [3978]	0	1552	1096	0	090F	0000	2	1	10	0	0	0	0	0	0	0	
@0F8B [3979]	0	1584	1112	0	0957	0000	2	1	10	0	0	0	0	0	0	0	
@0F8C [3980]	0	1616	1128	0	0957	0000	2	1	10	0	0	0	0	0	0	0	
@0F8D [3981]	0	1664	1152	0	0957	0000	2	1	10	0	0	0	0	0	0	0	
@0F8E [3982]	0	1568	1216	0	0957	0000	2	1	10	0	0	0	0	0	0	0	
@0F8F [3983]	0	1424	1144	0	0957	0000	2	1	10	0	0	0	0	0	0	0	
@0F90 [3984]	0	736	1456	0	0915	0000	2	1	10	0	0	0	0	0	0	0	
@0F91 [3985]	0	784	1480	0	08BB	0000	2	1	10	0	0	0	0	0	0	0	
@0F92 [3986]	0	832	1504	0	08D9	0000	2	1	10	0	0	0	0	0	0	0	
@0F93 [3987]	0	800	1424	0	0945	0000	2	1	10	0	0	0	0	0	0	0	
@0F94 [3988]	0	992	1440	0	094B	0000	2	1	10	0	0	0	0	0	0	0	
@0F95 [3989]	0	1584	1720	0	08C1	0000	2	1	10	0	0	0	0	0	0	0	
@0F96 [3990]	0	1632	1696	0	091B	0000	2	1	10	0	0	0	0	0	0	0	
@0F97 [3991]	0	1680	1672	0	08C7	0000	2	1	10	0	0	0	0	0	0	0	
@0F98 [3992]	0	1728	1648	0	0915	0000	2	1	10	0	0	0	0	0	0	0	
@0F99 [3993]	0	1488	1672	0	0837	0000	2	1	10	0	0	0	0	0	0	0	
@0F9A [3994]	0	1632	1600	0	08DF	0000	2	1	10	0	0	0	0	0	0	0	
@0F9B [3995]	0	1648	216	0	08CD	0000	2	1	10	0	0	0	0	0	0	0	
@0F9C [3996]	0	1760	272	0	0945	0000	2	1	10	0	0	0	0	0	0	0	
@0F9D [3997]	0	1552	264	0	094B	0000	2	1	10	0	0	0	0	0	0	0	
@0F9E [3998]	0	1664	320	0	0921	0000	2	1	10	0	0	0	0	0	0	0	
@0F9F [3999]	0	1520	792	0	091B	0000	2	1	10	0	0	0	0	0	0	0	
@0FA0 [4000]	0	1568	816	0	07A7	0000	2	1	10	0	0	0	0	0	0	0	
@0FA1 [4001]	0	1616	840	0	0837	0000	2	1	10	0	0	0	0	0	0	0	
@0FA2 [4002]	0	1648	856	0	08BB	0000	2	1	10	0	0	0	0	0	0	0	
@0FA3 [4003]	0	1456	808	0	0921	0000	2	1	10	0	0	0	0	0	0	0	
@0FA4 [4004]	0	1392	840	0	08C7	0000	2	1	10	0	0	0	0	0	0	0	
@0FA5 [4005]	0	1632	896	0	08C1	0000	2	1	10	0	0	0	0	0	0	0	
@0FA6 [4006]	0	1568	928	0	0921	0000	2	1	10	0	0	0	0	0	0	0	
@0FA7 [4007]	0	1504	832	0	0525	0000	2	1	10	0	0	0	0	0	0	0	
@0FA8 [4008]	0	1584	872	0	091B	0000	2	1	10	0	0	0	0	0	0	0	
@0FA9 [4009]	0	1520	904	0	07FB	0000	2	1	10	0	0	0	0	0	0	0	
@0FAA [4010]	0	1440	864	0	07A7	0000	2	1	10	0	0	0	0	0	0	0	
@0FAB [4011]	0	336	696	0	091B	0000	2	1	10	0	0	0	0	0	0	0	
@0FAC [4012]	0	336	1448	0	0843	0000	2	1	10	0	0	0	0	0	0	0	
@0FAD [4013]	0	240	1400	0	07A7	0000	2	1	10	0	0	0	0	0	0	0	
