场景号	地图号	进入脚本	传送脚本
$0016 [022]	18	2C8F	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#019B [411]	0	1472	336	0	2968	0000	1	6	0	0	0	0	0	0	0	0
#019C [412]	0	912	1032	0	2735	2DC3	2	6	194	0	0	0	0	0	0	0
#019D [413]	0	912	1032	0	2896	0000	0	7	229	0	0	6	0	0	0	0
#019E [414]	0	912	1032	0	273D	0000	0	7	7	3	1	0	0	0	0	0
#019F [415]	0	912	1032	0	2959	0000	0	1	230	0	0	0	0	0	0	0
#01A0 [416]	0	864	992	0	0000	0000	0	0	3	3	3	0	0	0	0	0
#01A1 [417]	0	976	1016	1	0000	0000	2	0	195	0	0	0	0	0	0	0
#01A2 [418]	0	960	1056	0	0000	0000	0	0	110	3	1	0	0	0	0	0
#01A3 [419]	0	944	1064	0	0000	0000	0	0	148	3	1	0	0	0	0	0
#01A4 [420]	0	960	1008	1	27F1	0000	0	2	229	0	0	4	0	0	0	0
#01A5 [421]	0	1376	384	0	280D	0000	0	6	0	0	0	0	0	0	0	0
#01A6 [422]	0	1216	1472	0	0000	2DCD	1	0	231	0	0	0	0	0	0	0
#01A7 [423]	0	1152	1408	9	0000	2DE0	2	2	40	1	1	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
