场景号	地图号	进入脚本	传送脚本
$00DC [220]	218	0000	8882	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0FAE [4014]	0	1296	456	0	889E	0000	1	5	0	0	0	0	0	0	0	0
#0FAF [4015]	0	432	1176	0	88A6	0000	1	5	0	0	0	0	0	0	0	0
#0FB0 [4016]	0	768	464	0	88E2	0000	1	5	0	0	0	0	0	0	0	0
#0FB1 [4017]	0	720	632	0	054F	0000	2	1	10	0	0	0	0	0	0	0
#0FB2 [4018]	0	624	1496	0	0567	0000	2	1	10	0	0	0	0	0	0	0
#0FB3 [4019]	0	1456	1400	0	05C7	0000	2	1	10	0	0	0	0	0	0	0
#0FB4 [4020]	0	1616	648	0	0525	0000	2	1	10	0	0	0	0	0	0	0
#0FB5 [4021]	0	1392	488	0	0705	0000	2	1	10	0	0	0	0	0	0	0
#0FB6 [4022]	0	1216	1392	0	0927	0000	2	1	10	0	0	0	0	0	0	0
#0FB7 [4023]	0	1184	1408	0	092D	0000	2	1	10	0	0	0	0	0	0	0
#0FB8 [4024]	0	1136	1432	0	0999	0000	2	1	10	0	0	0	0	0	0	0
#0FB9 [4025]	0	1088	1456	0	0933	0000	2	1	10	0	0	0	0	0	0	0
#0FBA [4026]	0	1040	1480	0	083D	0000	2	1	10	0	0	0	0	0	0	0
#0FBB [4027]	0	976	1512	0	083D	0000	2	1	10	0	0	0	0	0	0	0
#0FBC [4028]	0	1312	784	0	083D	0000	2	1	10	0	0	0	0	0	0	0
#0FBD [4029]	0	1344	800	0	083D	0000	2	1	10	0	0	0	0	0	0	0
#0FBE [4030]	0	1376	816	0	07F5	0000	2	1	10	0	0	0	0	0	0	0
#0FBF [4031]	0	1408	832	0	0849	0000	2	1	10	0	0	0	0	0	0	0
#0FC0 [4032]	0	1440	848	0	0849	0000	2	1	10	0	0	0	0	0	0	0
#0FC1 [4033]	0	1472	864	0	091B	0000	2	1	10	0	0	0	0	0	0	0
#0FC2 [4034]	0	1504	880	0	091B	0000	2	1	10	0	0	0	0	0	0	0
#0FC3 [4035]	0	1536	896	0	0921	0000	2	1	10	0	0	0	0	0	0	0
#0FC4 [4036]	0	496	568	0	0921	0000	2	1	10	0	0	0	0	0	0	0
#0FC5 [4037]	0	560	536	0	0915	0000	2	1	10	0	0	0	0	0	0	0
#0FC6 [4038]	0	640	496	0	0525	0000	2	1	10	0	0	0	0	0	0	0
#0FC7 [4039]	0	1120	528	0	A0A7	9CC9	1	5	488	2	0	0	0	0	0	0
#0FC8 [4040]	0	1600	640	0	A09F	9CC9	1	5	625	2	0	0	0	0	0	0
#0FC9 [4041]	0	1328	888	0	A0B7	0000	1	5	472	2	0	0	0	0	0	0
#0FCA [4042]	0	992	1024	0	A0D5	0002	1	5	625	2	0	0	0	0	0	0
#0FCB [4043]	0	624	1000	0	A0D9	0002	1	5	488	2	0	0	0	0	0	0
#0FCC [4044]	0	336	1224	0	A0B9	A1D1	1	5	591	4	0	0	0	0	0	0
#0FCD [4045]	0	624	1480	0	A101	9CAA	1	5	11	0	0	0	0	0	0	0
#0FCE [4046]	0	528	1496	0	A0DB	9CB3	1	5	472	2	0	0	0	0	0	0
#0FCF [4047]	0	992	1360	0	A0F9	9CC9	1	5	468	0	0	0	0	0	0	0
#0FD0 [4048]	0	1120	1632	0	A0CD	9CC9	1	5	625	2	0	0	0	0	0	0
#0FD1 [4049]	0	1632	1328	0	A0FD	9CC9	1	5	468	0	0	0	0	0	0	0
#0FD2 [4050]	0	1504	1376	0	A0FB	9CC9	1	5	468	0	0	0	0	0	0	0
#0FD3 [4051]	0	1392	1368	0	A0A9	0002	1	5	488	2	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
