场景号	地图号	进入脚本	传送脚本
$00DE [222]	220	0000	8882	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0FD9 [4057]	0	1520	1096	0	88A2	0000	1	2	0	0	0	0	0	0	0	0
#0FDA [4058]	0	672	1664	0	88AA	0000	1	5	0	0	0	0	0	0	0	0
#0FDB [4059]	0	832	1168	0	88B2	0000	1	5	0	0	0	0	0	0	0	0
#0FDC [4060]	0	944	792	0	88BA	0000	1	5	0	0	0	0	0	0	0	0
#0FDD [4061]	0	832	576	0	A0AB	9CC9	1	5	488	2	0	0	0	0	0	0
#0FDE [4062]	0	272	648	0	A0C5	9CC9	1	5	472	2	0	0	0	0	0	0
#0FDF [4063]	0	400	840	0	A0D5	0002	1	5	625	2	0	0	0	0	0	0
#0FE0 [4064]	0	592	936	0	A0CF	0002	1	5	488	2	0	0	0	0	0	0
#0FE1 [4065]	0	224	1232	0	A0FF	9CC9	1	5	468	0	0	0	0	0	0	0
#0FE2 [4066]	0	496	1368	0	A0C7	9CB3	1	5	472	2	0	0	0	0	0	0
#0FE3 [4067]	0	1328	1448	0	A09D	9CC9	1	5	625	2	0	0	0	0	0	0
#0FE4 [4068]	0	1184	1264	0	A0A9	9CC9	1	5	488	2	0	0	0	0	0	0
#0FE5 [4069]	0	928	1184	0	A0C3	A1D1	1	5	591	4	0	0	0	0	0	0
#0FE6 [4070]	0	1568	1040	0	A0B7	0002	1	5	472	2	0	0	0	0	0	0
#0FE7 [4071]	0	1696	768	0	A0E3	0002	1	5	626	2	0	0	0	0	0	0
#0FE8 [4072]	0	1424	680	0	A04F	9CC9	1	5	468	0	0	0	0	0	0	0
#0FE9 [4073]	0	928	848	0	A0CD	9CC9	1	5	625	2	0	0	0	0	0	0
#0FEA [4074]	0	1024	736	0	A0E5	0002	1	5	626	2	0	0	0	0	0	0
#0FEB [4075]	0	720	600	0	07F5	0000	2	1	10	0	0	0	0	0	0	0
#0FEC [4076]	0	752	584	0	0915	0000	2	1	10	0	0	0	0	0	0	0
#0FED [4077]	0	784	568	0	0915	0000	2	1	10	0	0	0	0	0	0	0
#0FEE [4078]	0	816	568	0	0843	0000	2	1	10	0	0	0	0	0	0	0
#0FEF [4079]	0	848	584	0	08BB	0000	2	1	10	0	0	0	0	0	0	0
#0FF0 [4080]	0	880	600	0	08C1	0000	2	1	10	0	0	0	0	0	0	0
#0FF1 [4081]	0	912	616	0	093F	0000	2	1	10	0	0	0	0	0	0	0
#0FF2 [4082]	0	944	632	0	0849	0000	2	1	10	0	0	0	0	0	0	0
#0FF3 [4083]	0	1392	1480	0	08C7	0000	2	1	10	0	0	0	0	0	0	0
#0FF4 [4084]	0	1424	1496	0	07FB	0000	2	1	10	0	0	0	0	0	0	0
#0FF5 [4085]	0	1456	1512	0	08CD	0000	2	1	10	0	0	0	0	0	0	0
#0FF6 [4086]	0	1488	1496	0	08D9	0000	2	1	10	0	0	0	0	0	0	0
#0FF7 [4087]	0	1520	1480	0	0957	0000	2	1	10	0	0	0	0	0	0	0
#0FF8 [4088]	0	1552	1464	0	0957	0000	2	1	10	0	0	0	0	0	0	0
#0FF9 [4089]	0	1520	1448	0	0957	0000	2	1	10	0	0	0	0	0	0	0
#0FFA [4090]	0	1488	1432	0	0957	0000	2	1	10	0	0	0	0	0	0	0
#0FFB [4091]	0	1456	1416	0	0957	0000	2	1	10	0	0	0	0	0	0	0
#0FFC [4092]	0	768	1360	0	08DF	0000	2	1	10	0	0	0	0	0	0	0
#0FFD [4093]	0	800	1344	0	0999	0000	2	1	10	0	0	0	0	0	0	0
#0FFE [4094]	0	832	1328	0	0999	0000	2	1	10	0	0	0	0	0	0	0
#0FFF [4095]	0	864	1328	0	0945	0000	2	1	10	0	0	0	0	0	0	0
#1000 [4096]	0	896	1344	0	094B	0000	2	1	10	0	0	0	0	0	0	0
#1001 [4097]	0	928	1360	0	0927	0000	2	1	10	0	0	0	0	0	0	0
#1002 [4098]	0	1024	832	0	092D	0000	2	1	10	0	0	0	0	0	0	0
#1003 [4099]	0	640	1696	0	083D	0000	2	1	10	0	0	0	0	0	0	0
#1004 [4100]	0	1344	448	0	083D	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
