场景号	地图号	进入脚本	传送脚本
#00DF [223]	222	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@1005 [4101]	0	1152	1520	0	8896	0000	1	5	0	0	0	0	0	0	0	0	
@1006 [4102]	0	1280	1248	0	88AE	0000	1	2	0	0	0	0	0	0	0	0	
@1007 [4103]	0	768	352	0	88B6	0000	1	2	0	0	0	0	0	0	0	0	
@1008 [4104]	0	1616	712	0	88BE	0000	1	2	0	0	0	0	0	0	0	0	
@1009 [4105]	0	208	792	0	88CA	0000	1	5	0	0	0	0	0	0	0	0	
@100A [4106]	0	1744	1608	0	88CE	0000	1	5	0	0	0	0	0	0	0	0	
@100B [4107]	0	448	1712	0	88D2	0000	1	5	0	0	0	0	0	0	0	0	
@100C [4108]	0	1808	984	0	88D6	0000	1	5	0	0	0	0	0	0	0	0	
@100D [4109]	0	1024	320	0	A0D7	9CB3	1	5	472	2	0	0	0	0	0	0	
@100E [4110]	0	1040	664	0	A0E3	0000	1	5	626	2	0	0	0	0	0	0	
@100F [4111]	0	864	896	0	A0AB	9CC9	1	5	488	2	0	0	0	0	0	0	
@1010 [4112]	0	960	944	0	A099	0002	1	5	625	2	0	0	0	0	0	0	
@1011 [4113]	0	528	1048	0	A0B7	9CB3	1	5	472	2	0	0	0	0	0	0	
@1012 [4114]	0	464	1112	0	A091	9CC9	1	5	625	2	0	0	0	0	0	0	
@1013 [4115]	0	1552	808	0	A0E5	9CC9	1	5	626	2	0	0	0	0	0	0	
@1014 [4116]	0	1424	1000	0	A0D5	9CC9	1	5	625	2	0	0	0	0	0	0	
@1015 [4117]	0	912	1208	0	A0C7	9CC9	1	5	472	2	0	0	0	0	0	0	
@1016 [4118]	0	656	1448	0	A0E5	9CC9	1	5	626	2	0	0	0	0	0	0	
@1017 [4119]	0	1168	1464	0	A0D3	9CC9	1	5	488	2	0	0	0	0	0	0	
@1018 [4120]	0	1328	776	0	08E5	0000	2	1	10	0	0	0	0	0	0	0	
@1019 [4121]	0	1360	792	0	08E5	0000	2	1	10	0	0	0	0	0	0	0	
@101A [4122]	0	1392	808	0	08E5	0000	2	1	10	0	0	0	0	0	0	0	
@101B [4123]	0	1424	824	0	08EB	0000	2	1	10	0	0	0	0	0	0	0	
@101C [4124]	0	1456	840	0	08EB	0000	2	1	10	0	0	0	0	0	0	0	
@101D [4125]	0	1488	856	0	08EB	0000	2	1	10	0	0	0	0	0	0	0	
@101E [4126]	0	1536	864	0	08F1	0000	2	1	10	0	0	0	0	0	0	0	
@101F [4127]	0	1200	360	0	08F1	0000	2	1	10	0	0	0	0	0	0	0	
@1020 [4128]	0	1232	376	0	08F1	0000	2	1	10	0	0	0	0	0	0	0	
@1021 [4129]	0	1264	392	0	08F7	0000	2	1	10	0	0	0	0	0	0	0	
@1022 [4130]	0	1296	408	0	08F7	0000	2	1	10	0	0	0	0	0	0	0	
@1023 [4131]	0	1328	424	0	08F7	0000	2	1	10	0	0	0	0	0	0	0	
@1024 [4132]	0	832	1264	0	099F	0000	2	1	10	0	0	0	0	0	0	0	
@1025 [4133]	0	848	1256	0	0903	0000	2	1	10	0	0	0	0	0	0	0	
@1026 [4134]	0	864	1248	0	0903	0000	2	1	10	0	0	0	0	0	0	0	
@1027 [4135]	0	880	1240	0	0909	0000	2	1	10	0	0	0	0	0	0	0	
@1028 [4136]	0	896	1232	0	0909	0000	2	1	10	0	0	0	0	0	0	0	
@1029 [4137]	0	912	1224	0	0939	0000	2	1	10	0	0	0	0	0	0	0	
@102A [4138]	0	592	1416	0	0933	0000	2	1	389	0	0	0	0	0	0	0	
@102B [4139]	0	624	1432	0	093F	0000	2	1	10	0	0	0	0	0	0	0	
@102C [4140]	0	656	1448	0	07F5	0000	2	1	10	0	0	0	0	0	0	0	
@102D [4141]	0	688	1432	0	07F5	0000	2	1	10	0	0	0	0	0	0	0	
@102E [4142]	0	720	1416	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
@102F [4143]	0	752	1400	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
@1030 [4144]	0	1024	1152	0	0843	0000	2	1	10	0	0	0	0	0	0	0	
@1031 [4145]	0	1056	1168	0	0945	0000	2	1	10	0	0	0	0	0	0	0	
@1032 [4146]	0	1088	1184	0	0945	0000	2	1	10	0	0	0	0	0	0	0	
@1033 [4147]	0	1120	1168	0	094B	0000	2	1	10	0	0	0	0	0	0	0	
@1034 [4148]	0	1152	1152	0	094B	0000	2	1	10	0	0	0	0	0	0	0	
@1035 [4149]	0	1008	648	0	0837	0000	2	1	10	0	0	0	0	0	0	0	
@1036 [4150]	0	816	312	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
