场景号	地图号	进入脚本	传送脚本
$00E1 [225]	223	0000	8882	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#103B [4155]	0	720	664	0	88E6	0000	1	4	0	0	0	0	0	0	0	0
#103C [4156]	0	592	1192	0	88EA	0000	1	4	0	0	0	0	0	0	0	0
#103D [4157]	0	1120	464	0	88EE	0000	1	4	0	0	0	0	0	0	0	0
#103E [4158]	0	1472	1552	0	88F2	0000	1	4	0	0	0	0	0	0	0	0
#103F [4159]	0	1600	224	0	88F6	0000	1	4	0	0	0	0	0	0	0	0
#1040 [4160]	0	1600	1488	0	88FA	0000	1	4	0	0	0	0	0	0	0	0
#1041 [4161]	0	1632	864	0	88FE	0000	1	4	0	0	0	0	0	0	0	0
#1042 [4162]	0	512	992	0	8902	0000	1	4	0	0	0	0	0	0	0	0
#1043 [4163]	0	1328	328	0	8906	0000	1	4	0	0	0	0	0	0	0	0
#1044 [4164]	0	1424	504	0	890A	0000	1	4	0	0	0	0	0	0	0	0
#1045 [4165]	0	928	432	0	890E	0000	1	4	0	0	0	0	0	0	0	0
#1046 [4166]	0	1104	1224	0	8912	0000	1	4	0	0	0	0	0	0	0	0
#1047 [4167]	0	704	1696	0	89AE	0000	1	4	0	0	0	0	0	0	0	0
#1048 [4168]	0	432	1592	0	8916	0000	1	4	0	0	0	0	0	0	0	0
#1049 [4169]	0	1136	776	0	89CA	0000	1	4	0	0	0	0	0	0	0	0
#104A [4170]	0	592	1288	0	89CE	0000	1	4	0	0	0	0	0	0	0	0
#104B [4171]	0	1072	744	0	89D2	0000	1	4	0	0	0	0	0	0	0	0
#104C [4172]	0	720	1352	0	89D6	0000	1	4	0	0	0	0	0	0	0	0
#104D [4173]	0	1200	808	0	89C2	0000	1	4	0	0	0	0	0	0	0	0
#104E [4174]	0	656	1320	0	89C6	0000	1	4	0	0	0	0	0	0	0	0
#104F [4175]	0	416	416	0	89AA	0000	1	4	0	0	0	0	0	0	0	0
#1050 [4176]	0	1360	1368	0	891E	0000	1	4	0	0	0	0	0	0	0	0
#1051 [4177]	0	1568	704	0	8926	0000	1	4	0	0	0	0	0	0	0	0
#1052 [4178]	0	1184	896	0	892E	0000	1	4	0	0	0	0	0	0	0	0
#1053 [4179]	0	1376	1200	0	8936	0000	1	4	0	0	0	0	0	0	0	0
#1054 [4180]	0	1392	360	0	893E	0000	1	4	0	0	0	0	0	0	0	0
#1055 [4181]	0	1456	392	0	8982	0000	1	4	0	0	0	0	0	0	0	0
#1056 [4182]	0	928	1456	0	898E	0000	1	4	0	0	0	0	0	0	0	0
#1057 [4183]	0	1184	896	0	8992	0000	1	4	0	0	0	0	0	0	0	0
#1058 [4184]	0	1376	1200	0	899E	0000	1	4	0	0	0	0	0	0	0	0
#1059 [4185]	0	608	944	0	89A2	0000	1	4	0	0	0	0	0	0	0	0
#105A [4186]	0	400	856	0	89A6	0000	1	4	0	0	0	0	0	0	0	0
#105B [4187]	0	1680	264	0	0933	0000	2	1	10	0	0	0	0	0	0	0
#105C [4188]	0	496	264	0	0903	0000	2	1	10	0	0	0	0	0	0	0
#105D [4189]	0	928	672	0	0909	0000	2	1	10	0	0	0	0	0	0	0
#105E [4190]	0	1424	776	0	0909	0000	2	1	10	0	0	0	0	0	0	0
#105F [4191]	0	336	968	0	0909	0000	2	1	10	0	0	0	0	0	0	0
#1060 [4192]	0	1536	1520	0	0951	0000	2	1	10	0	0	0	0	0	0	0
#1061 [4193]	0	1040	1768	0	0951	0000	2	1	10	0	0	0	0	0	0	0
#1062 [4194]	0	576	1520	0	0801	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
