场景号	地图号	进入脚本	传送脚本
$00E5 [229]	178	8A97	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#10B1 [4273]	0	1328	744	0	8A9E	0000	1	7	0	0	0	0	0	0	0	0
#10B2 [4274]	0	1280	1536	0	8BCE	0000	1	5	0	0	0	0	0	0	0	0
#10B3 [4275]	0	1328	760	0	0000	8C9C	0	0	562	3	0	0	0	0	0	0
#10B4 [4276]	0	1344	736	0	8FEB	8C9E	0	2	28	3	0	0	0	0	0	0
#10B5 [4277]	0	1376	752	0	8FEE	8CA2	0	2	28	3	0	0	0	0	0	0
#10B6 [4278]	0	1200	824	0	0000	0000	2	0	351	3	0	0	0	0	0	0
#10B7 [4279]	0	1264	760	0	8FF1	0011	2	2	544	3	3	0	0	0	0	0
#10B8 [4280]	0	1328	792	0	8FF5	000E	2	2	544	3	1	0	0	0	0	0
#10B9 [4281]	0	1088	848	0	8FF9	000B	2	2	544	3	0	0	0	0	0	0
#10BA [4282]	0	1200	904	0	8FFD	000B	2	2	544	3	0	0	0	0	0	0
#10BB [4283]	0	1168	904	0	0000	0000	2	0	545	3	1	0	0	0	0	0
#10BC [4284]	0	1104	888	0	0000	0000	2	0	544	3	0	0	0	0	0	0
#10BD [4285]	0	1072	872	0	0000	0000	2	0	545	3	3	0	0	0	0	0
#10BE [4286]	0	1120	864	0	0000	0000	2	0	545	3	3	0	0	0	0	0
#10BF [4287]	0	1120	912	0	0000	0000	2	0	544	3	2	0	0	0	0	0
#10C0 [4288]	0	1072	904	0	0000	0000	2	0	545	3	0	0	0	0	0	0
#10C1 [4289]	0	1088	944	0	0000	0000	2	0	544	3	1	0	0	0	0	0
#10C2 [4290]	0	1040	920	0	0000	0000	2	0	545	3	3	0	0	0	0	0
#10C3 [4291]	0	1040	888	0	0000	0000	2	0	544	3	2	0	0	0	0	0
#10C4 [4292]	0	816	1000	0	8FC1	0011	2	2	544	3	3	0	0	0	0	0
#10C5 [4293]	0	912	1048	0	8FC5	000E	2	2	544	3	1	0	0	0	0	0
#10C6 [4294]	0	944	936	0	8FC8	0011	2	2	544	3	3	0	0	0	0	0
#10C7 [4295]	0	1040	984	0	8FCB	000E	2	2	544	3	1	0	0	0	0	0
#10C8 [4296]	0	1024	944	0	8CAD	0000	1	6	0	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
